Date,"Stephen Curry","NBA Finals"
2015-07-01,13313,1306
2015-07-02,13295,1414
2015-07-03,12106,1326
2015-07-04,11254,1230
2015-07-05,10355,1162
2015-07-06,9856,1239
2015-07-07,11089,1448
2015-07-08,12210,1247
2015-07-09,9669,1294
2015-07-10,9660,1085
2015-07-11,10197,929
2015-07-12,11312,982
2015-07-13,14170,1002
2015-07-14,11772,912
2015-07-15,12310,878
2015-07-16,27606,858
2015-07-17,21395,783
2015-07-18,12311,679
2015-07-19,14864,765
2015-07-20,19547,870
2015-07-21,12427,995
2015-07-22,14687,1260
2015-07-23,9063,923
2015-07-24,8225,845
2015-07-25,7341,932
2015-07-26,6927,951
2015-07-27,7215,827
2015-07-28,6549,953
2015-07-29,6059,806
2015-07-30,6044,777
2015-07-31,6279,907
2015-08-01,5861,744
2015-08-02,5324,928
2015-08-03,5174,615
2015-08-04,6270,689
2015-08-05,6778,614
2015-08-06,5664,817
2015-08-07,5561,684
2015-08-08,5401,622
2015-08-09,5254,651
2015-08-10,5777,729
2015-08-11,6546,738
2015-08-12,6610,699
2015-08-13,6354,818
2015-08-14,6064,664
2015-08-15,5345,638
2015-08-16,5395,667
2015-08-17,10902,754
2015-08-18,6035,670
2015-08-19,8770,705
2015-08-20,7056,673
2015-08-21,6400,691
2015-08-22,5660,566
2015-08-23,6270,858
2015-08-24,5905,661
2015-08-25,5627,659
2015-08-26,5298,645
2015-08-27,5167,797
2015-08-28,4645,786
2015-08-29,5679,617
2015-08-30,4971,665
2015-08-31,4918,620
2015-09-01,4623,610
2015-09-02,4779,620
2015-09-03,5210,649
2015-09-04,5163,622
2015-09-05,6221,619
2015-09-06,6527,622
2015-09-07,6470,556
2015-09-08,5552,494
2015-09-09,5473,609
2015-09-10,5443,684
2015-09-11,5184,600
2015-09-12,4370,509
2015-09-13,4732,626
2015-09-14,4703,597
2015-09-15,5219,536
2015-09-16,5370,601
2015-09-17,6144,582
2015-09-18,5356,664
2015-09-19,4437,474
2015-09-20,10273,503
2015-09-21,6594,525
2015-09-22,20122,519
