Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Mélinda Raissa Hennaoui,Hennaoui,18/03/1990,178,68,290,278,5,5,,,Istres Volleyball,F,Algeria
2,Sehryne Hennaoui,Hennaoui,10/01/1988,172,69,285,273,15,15,,,Istres Volleyball,F,Algeria
3,Salima Hammouche,Hammouche,17/01/1984,165,58,270,265,15,15,,,Nc Bejaia,F,Algeria
4,Nassima Saliha Benhamouda Ep Akouche,Benhamouda,20/10/1973,180,67,299,287,3,85,88,,Mc Alger,F,Algeria
5,Mouni Amrane,Amrane,19/05/1991,183,60,300,290,10,10,,,Montreal Volleyball,F,Algeria
6,Dalal Draa,Dalal,29/02/1984,0,0,0,0,,,,,,F,Algeria
7,Raouya Rouabhia,Rouabhia,25/06/1978,180,60,295,286,20,20,,,Venelle Volleyball,F,Algeria
8,Amina Redouani,Redouani,09/09/1984,0,0,0,0,,,,,,F,Algeria
9,Madani Narimene,Madani,12/03/1984,179,62,273,265,7,7,,,Mc Alger,F,Algeria
10,Fatima Zahra Oukazi,Fatima Zahra,18/01/1984,0,0,0,0,,,,,,F,Algeria
11,Abdelrrahim Mouni,Abdelrrahim,19/11/1985,174,61,258,255,,,,,Aswbejia,F,Algeria
12,Safia Boukhima,Boukhima,10/01/1991,176,64,298,287,15,15,,,Aswb Bejaia,F,Algeria
13,Nawal Mansouri,Nawal,01/08/1985,0,0,0,0,,,,,,F,Algeria
14,Faiza Tsabet,Faiza,22/03/1985,0,0,0,0,,,,,,F,Algeria
16,Azem Yamina,Azem,13/07/1983,166,58,250,247,7,7,,,Nc Bejaia,F,Algeria
17,Lydia Oulmou,Oulmou,02/02/1986,186,70,290,285,6,15,21,,Nc Bejaia,F,Algeria
18,Tassadit Aissou,Aissou,19/06/1989,183,70,305,286,6,6,,,Aswb Bejaia,F,Algeria
19,Fatma Zahra Djouad,Djouad,12/07/1988,178,60,295,285,25,25,,,Nc Bejaia,F,Algeria
