Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Oliveira Walewska,Walewska,01/10/1979,190,73,310,290,8,4,117,129,C. A. V. Murcia,F,Brazil
2,Albuquerque Carolina,Carolina,25/07/1977,182,76,289,279,8,40,,48,Finasa/Osasco,F,Brazil
3,Steinbrecher Marianne,Mári,23/08/1983,188,70,300,280,24,78,,102,Scavolini Pesaro,F,Brazil
4,Pequeno Paula,Paula,22/01/1982,181,87,304,280,7,28,,35,Monte Schiavo Jesi,F,Brazil
5,Gattaz Caroline,Caroline,27/07/1981,191,84,287,304,28,,,35,Monte Schiavo Jesi,F,Brazil
6,Menezes Thaisa,Thaisa,15/05/1987,196,79,310,300,24,60,,84,Rexona/Ades,F,Brazil
7,Souza Helia,Fofão,10/03/1970,173,63,283,264,22,6,239,267,C. A. V. Murcia,F,Brazil
8,Menezes Valeska,Valeskinha,23/04/1976,184,65,289,264,79,79,,111,Asystel Volley Novara,F,Brazil
9,Claudino Fabiana,Fabiana,24/04/1985,191,76,302,284,16,67,,83,Rexona Ades,F,Brazil
10,Gonzaga Welissa,Sassá,09/09/1982,179,76,300,287,16,67,,83,Rexona Ades,F,Brazil
11,Moraes Marcelle,Marcelle,06/05/1983,178,76,287,264,35,,,,Rexona Ades,F,Brazil
12,Castro Sheilla,Sheilla,31/12/1983,186,70,308,286,16,43,,,C. A. V. Murcia,F,Brazil
13,de Oliveira Fabiana,Fabi,07/03/1980,169,65,250,240,35,,,35,Rexona Ades,F,Brazil
14,Takagui Ana Tiemi,Ana Tiemi,26/04/1987,187,74,305,280,7,35,,,Finasa/Osasco,F,Brazil
15,Pereira Natalia,Natália,04/04/1989,185,70,300,280,6,10,,16,Rexona/Ades,F,Brazil
16,Colombo Renata,Rentinha,25/02/1981,181,78,305,285,6,10,,16,Rexona/Ades,F,Brazil
17,Silva Joyce,Joyce,16/04/1984,186,67,311,305,6,10,,,E. C. Pinheiros,F,Brazil
18,Xavier Arlene,Arlene,20/12/1969,177,74,299,290,8,18,,26,E. C. Pinheiros,F,Brazil
