Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Bruno Rezende,Bruno,02/07/1986,190,76,323,302,7,6,8,100,Cimed,M,Bulgaria
2,Elgarten Marcelo,Marcelinho,09/11/1974,183,78,321,308,7,7,86,100,Panathinaikos A.O.,M,Bulgaria
3,Carbonera Éder,Éder,19/06/1983,204,101,333,308,3,5,86,100,Cimed,M,Bulgaria
4,Heller André,André Heller,17/12/1975,199,93,309,321,12,5,136,153,Cimone Modena,M,Bulgaria
5,Santos Junior Sidnei dos,Sidão,09/07/1982,203,94,348,335,,,,,Cimone Modena,M,Bulgaria
6,Fuchs Samuel,Samuel,04/03/1984,200,89,342,316,14,42,56,,Lokomotiv Belgorod,M,Bulgaria
7,Godoy Filho Gilberto,Giba,23/12/1976,192,85,345,319,7,14,153,260,Iskra Odintsovo,M,Bulgaria
8,Endres Murilo,Murilo,03/05/1985,195,95,340,341,11,14,170,170,Cimone Modena,M,Bulgaria
9,Nascimento André Luiz da Silva,André,04/03/1979,195,94,340,341,12,9,125,,Copra V. Piacenza,M,Bulgaria
10,Rodrigues Anderson,Anderson,21/05/1974,195,87,320,301,9,9,121,,Ulbra,M,Bulgaria
11,Bittencourt Nalbert,Nalbert,07/03/1974,195,87,320,301,16,262,308,,Minas T.C.,M,Bulgaria
12,Endres Gustavo,Gustavo,04/07/1975,203,95,347,325,16,27,268,311,Sisley Treviso,M,Bulgaria
13,Santana Rodrigo,Rodrigo,07/03/1983,203,94,318,317,,,,,Lube Macerata,M,Bulgaria
14,Saatkamp Lucas,Lucas,06/03/1986,209,101,340,320,,,27,,Cimed,M,Bulgaria
15,Yared Marlon,Marlon,20/07/1977,190,82,320,302,9,16,90,,Bre Banca Cuneo,M,Bulgaria
16,Amaral Dante Guimaraes,Dante,30/09/1980,201,86,345,327,16,12,116,144,Panathinaikos A.O.,M,Bulgaria
17,Domingos Alan Barbosa,Alan,15/02/1980,189,75,354,323,7,,,,Dinamo Moska,M,Bulgaria
