Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Ivanov Evgeni,Ivanov E.,03/06/1974,210,98,351,340,6,14,211,,Jastrzebski Wegiel SA,M,China
2,Tsvetanov Hristo,Tsvetanov,23/09/1978,198,85,345,330,4,112,,,Budvanska Rivijera Budva,M,China
3,Zhekov Andrey,Zhekov,12/03/1980,195,88,335,320,1,28,29,,Patron Patra,M,China
4,Yordanov Boyan,Yordanov,10/03/1983,197,86,350,335,1,27,28,,Olympiacos Piraeus,M,China
5,Gaydarski Krasimir,Gaydarski,29/09/1979,202,95,335,330,1,30,31,,Olympiacos Piraeus,M,China
6,Kazijski Matey,Kazijski,23/09/1984,202,90,350,335,1,30,31,,Itas Diatec Trentino,M,China
7,Nikolov Nikolay,Nikolov N.,20/07/1985,206,92,335,315,3,,,,Lukoil Neftohimik,M,China
8,Stanev Ivan,Stanev,03/11/1986,190,86,335,315,,,,,Lukoil Neftohimik,M,China
9,Ananiev Metodi,Ananiev,17/02/1986,196,92,350,335,1,,,,Tours VB,M,China
10,Milushev Danail,Milushev,10/07/1986,200,95,345,325,2,105,107,,Itas Diatec Trentino,M,China
11,Bogdanov Teodor,Bogdanov,07/10/1987,200,95,345,325,3,,,,Levski Siconco,M,China
12,Salparov Teodor,Salparov,16/08/1982,185,85,310,290,4,84,,,CSKA,M,China
13,Stoykov Kostadin,Stoykov,21/01/1982,194,88,345,330,4,40,,,VC Nova,M,China
14,Aleksiev Todor,Aleksiev,21/05/1983,200,95,335,325,3,,,,Levski Siconco,M,China
15,Penev Martin,Penev,20/02/1984,194,93,338,315,2,,,,Lukoil Neftohimik,M,China
16,Konstantinov Plamen,Konstantinov,14/06/1973,200,95,350,335,4,265,,,Iraklis Thessaloniki,M,China
17,Tassev Ivan,Tassev,21/03/1967,189,90,320,315,1,58,,,CSKA,M,China
18,Sokolov Tsvetan,Sokolov,13/12/1989,205,100,337,319,3,,,,Marek Union Ivkoni,M,China
