Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Wang Yimei,Wang Y.M.,11/01/1988,190,90,318,305,,,,,Liaoning,F,China
2,Feng Kun,Feng K.,28/12/1978,183,75,319,310,8,22,280,310,Beijing,F,China
3,Yang Hao,Yang H.,21/03/1980,186,73,320,313,8,22,280,310,Liaoning,F,China
4,Liu Yanan,Liu Y.N.,29/09/1980,186,73,320,313,8,22,280,310,Liaoning,F,China
5,Wei Qiuyue,Wei Q.Y.,26/09/1988,186,65,305,300,38,38,,,Tianjin,F,China
6,Xu Yunli,Xu Y.L.,23/04/1987,196,75,313,306,11,11,,,Fujian,F,China
7,Zhou Suhong,Zhou S.H.,23/02/1980,182,75,320,310,340,,,,Zhejiang,F,China
8,Zhang Yuehong,Zhang Y.H.,19/11/1975,182,73,324,322,8,11,89,111,Liaoning,F,China
9,Zhao Ruirui,Zhao R.R.,08/10/1981,196,70,326,315,1,160,161,,Army,F,China
10,Xue Ming,Xue M.,23/02/1987,197,73,315,307,56,56,,,Beijing,F,China
11,Li Juan,Li J.,15/05/1981,187,63,315,307,11,71,71,,Tianjin,F,China
12,Song Nina,Song N.N.,18/02/1985,182,75,305,293,8,19,,,Army,F,China
13,Zhao Yanni,Zhao Y.N.,11/04/1984,185,67,305,300,8,11,70,,Sichuan,F,China
14,Zhang Xian,Zhang X.,16/07/1985,167,57,290,286,,,,,Yunnan,F,China
15,Zhang Na,Zhang N.,19/04/1981,168,55,292,286,11,70,89,,Tianjin,F,China
16,Ma Yunwen,Ma Y.W.,19/10/1986,189,70,315,307,42,42,,,Shanghai,F,China
17,Li Shan,Li S.,21/05/1980,185,72,317,300,11,65,84,,Tianjin,F,China
