Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Ruiz Luaces Yumilka,Ruiz,08/05/1978,179,62,329,315,14,11,85,110,Camaguey,F,Cuba
2,Santos Allegne Yanelis,Santos,30/03/1986,183,71,315,312,11,3,60,74,Ciego de Avilas,F,Cuba
3,Carrillo de la Paz Nancy,Carrillo,22/08/1983,190,74,318,315,11,6,63,80,Ciudad Habana,F,Cuba
4,Gonzalez Dias Yenisey,Gonzalez,04/04/1990,184,70,314,280,33,,,,Camaguey,F,Cuba
5,Maso Casales Dayesi,Maso,08/10/1983,176,67,305,290,33,,,,Ciudad Habana,F,Cuba
6,Ramirez Echevarria Daimi,Ramirez,08/10/1983,176,67,305,290,33,,,,Villa Clara,F,Cuba
7,Arredondo Reyes Lisbet,Arredondo,11/12/1987,181,72,306,303,7,7,57,71,Ciudad de la Habana,F,Cuba
8,Ortiz Charro Yaima,Ortiz,09/11/1981,181,72,306,303,7,7,57,71,Ciudad de la Habana,F,Cuba
9,Sanchez Perez Rachel,Sanchez,12/03/1984,178,65,325,305,11,10,71,92,Pinar del Rio,F,Cuba
10,Herrera Alvarez Yusleidys,Herrera,26/12/1977,186,70,325,315,71,71,,,Camaguey,F,Cuba
11,Mesa Luaces Liana,Mesa,26/12/1977,170,66,305,300,70,71,,71,Camaguey,F,Cuba
12,Calderon Diaz Rosir,Calderon,18/10/1986,188,72,309,300,50,,,50,Guantanamo,F,Cuba
13,Castañeda Simon Leanny,Castañeda,22/10/1988,188,68,305,289,50,,,50,Guantanamo,F,Cuba
14,Carcases Opón Kenia,Carcases,11/11/1984,190,75,312,306,,,,,Santiago de Cuba,F,Cuba
15,Silie Frometa Yusdeily,Silie,27/11/1989,183,70,307,285,10,,,10,Santiago de Cuba,F,Cuba
16,Cleger Abel Ana Lidia,Cleger,27/11/1989,183,70,307,285,10,,,10,Santiago de Cuba,F,Cuba
17,Barros Fernandez Zoila,Barros,16/08/1976,188,72,308,307,15,100,,135,Ciudad de la Habana,F,Cuba
18,Acosta Camper Suramis,Acosta,17/07/1987,188,80,307,287,9,,,9,Ciudad Habana,F,Cuba
