Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Awad Hamdy,Elsafi,14/04/1972,202,105,346,327,5,20,296,321,Ahly,M,Egypt
2,Ahmed Abdalla,Abdalla,10/04/1983,198,72,352,331,5,96,101,,Gabeca,M,Egypt
3,Gabal Mohamed,Gabal,21/01/1985,197,95,345,320,5,25,30,,Elgaish,M,Egypt
4,Abdel Naiem Ahmed,A.Salah,19/08/1984,197,87,345,316,10,96,106,,Ahly,M,Egypt
5,Ahmed Abdel Latif,Abdel Latif,20/09/1983,202,90,345,325,,20,,,Ahly,M,Egypt
6,Al Ayldy Wael,Alaydy,08/12/1971,178,76,0,0,10,116,126,,Ahly,M,Egypt
7,Abouelhassan Ashraf,Ashraf,19/07/1982,194,82,302,315,15,166,181,,Zamalek,M,Egypt
8,Youssef Saleh,S.Fathy,25/07/1982,194,92,338,316,10,76,86,,Zamalek,M,Egypt
9,El Mahdy Mohamed,Elmahdy,06/07/1983,196,94,340,335,10,186,196,,Ahly,M,Egypt
10,Affi Ahmed,Youssef,06/06/1985,200,92,345,315,4,,8,,Zamalek,M,Egypt
11,Elnfarawy Mohamed,Elsayed,09/06/1983,200,94,335,320,5,116,121,,Ahly,M,Egypt
12,Ismail Mahmoud,Mansour,,199,95,322,,,,1,,Smoha,M,Egypt
13,Badawy Mohamed,Moneim,11/01/1986,197,94,322,310,3,20,23,,Zamalek,M,Egypt
14,Gomaa Hossameldin,Hossam,15/04/1984,194,92,344,324,,16,81,,Ahly,M,Egypt
15,Abdel Fattah Ahmed,Mosad,05/05/1983,202,92,345,325,5,25,,25,Elshams,M,Egypt
16,Seif Elnasr Mohamed,M.Ali,05/09/1983,200,90,340,320,,20,20,,Zamalek,M,Egypt
17,Abdel El Kader Mahmoud,Raouf,10/01/1981,197,91,320,,16,22,27,,Ahly,M,Egypt
18,El Daabousi Mohamed,Daabousi,02/08/1980,201,102,339,326,4,11,15,,Sporting,M,Egypt
19,Meawad Mohamed,Meawad,26/08/1987,194,90,321,310,4,9,13,,Elshams,M,Egypt
