Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Popp Marcus,Popp,23/09/1981,192,83,344,328,11,65,76,,Gabeca Montichiari,M,Germany
2,Steuerwald Markus,Steuerwald,07/03/1989,182,79,734,318,30,30,30,,VFB Friedrichshafen,M,Germany
3,Umlauft Jan,Umlauft,08/02/1987,197,94,345,315,11,,,,evivo Düren,M,Germany
4,Tischer Simon,Tischer,20/04/1982,192,84,345,328,11,100,111,,Iraklis Thessaloniki,M,Germany
5,Andrae Björn,Andrae,21/05/1981,193,85,344,328,11,190,201,,AZS Olsztyn,M,Germany
6,Kampa Lukas,Kampa,29/11/1986,189,83,330,315,2,,,,Moerser SC,M,Germany
7,Siebeck Mark,Siebeck,15/01/1980,200,85,335,315,10,126,136,,Halkbank Ankara,M,Germany
8,Böhme Marcus,Böhme,08/08/1985,211,96,345,335,19,,,,SCC Berlin,M,Germany
9,Hübner Stefan,Hübner,13/06/1975,200,89,346,334,11,204,215,,Sisley Treviso,M,Germany
10,Schöps Jochen,Schöps,08/08/1983,200,90,346,330,11,130,141,,Iskra Odintsovo,M,Germany
11,Dehne Frank,Dehne,14/02/1976,202,88,335,315,9,272,281,,AZS Olsztyn,M,Germany
12,Pampel Christian,Pampel,06/09/1979,200,94,346,330,11,100,,,VFB Friedrichshafen,M,Germany
13,Bergmann Ralph,Bergmann,26/05/1970,203,87,345,333,15,,,,Moerser SC,M,Germany
14,Kromm Robert,Kromm,26/09/1984,204,95,345,315,11,,,,RPA Perugia,M,Germany
15,Günthör Max,Günthör,09/01/1985,212,100,345,335,11,90,,,Most. Kedzierzyn,M,Germany
16,Bakumovski Eugen,Bakumovski,11/06/1983,195,85,345,325,4,,,,TSV Unterhaching,M,Germany
17,Steuerwald Patrick,Steuerwald,21/07/1985,195,85,345,325,,,,,VFB Friedrichshafen,M,Germany
18,Grozer György,Grozer,27/11/1984,200,99,374,345,11,12,,,Moerser SC,M,Germany
19,Kröger Thomas,Kröger,11/06/1979,188,84,328,302,12,23,,,VFB Friedrichshafen,M,Germany
