Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Mastrangelo Luigi,Mastrangelo,17/08/1975,202,90,368,336,16,20,208,244,M.Roma Volley,M,Italy
2,Della Lunga Dore,Della Lunga,25/04/1984,192,75,335,325,,,,,Itas Diatec Trentino,M,Italy
3,Gavotto Mauro,Gavotto,27/04/1979,200,88,346,330,6,6,,,Acqua Paradiso Gabeca,M,Italy
4,Manià Loris,Manià,27/01/1979,190,76,325,315,,,,,Acqua Paradiso Gabeca,M,Italy
5,Vermiglio Valerio,Vermiglio,01/03/1976,197,86,318,311,9,174,191,,Lube Banca Marche,M,Italy
6,Meoni Marco,Meoni,25/05/1973,197,85,318,315,12,205,233,,Copra Nordmeccanica Piacenza,M,Italy
7,Paparoni Alessandro,Paparoni,17/08/1981,190,73,325,318,,,,,Lube Banca Marche,M,Italy
8,Cisolla Alberto,Cisolla,10/10/1977,198,96,367,345,8,11,109,128,Sisley Treviso,M,Italy
9,Martino Matteo,Martino,08/01/1987,197,84,340,322,,,,,Sparkling Volley,M,Italy
10,Tencati Luca,Tencati,21/04/1980,202,85,345,315,13,103,103,,Copra Nordmeccanica Piacenza,M,Italy
11,Zlatanov Hristo,Zlatanov,21/04/1976,202,85,315,315,13,103,103,,Copra Nordmeccanica Piacenza,M,Italy
12,Corsano Mirko,Corsano,19/03/1981,190,80,318,310,,,,,Antonveneta Padova,M,Italy
13,Perazzolo Lorenzo,Perazzolo,21/03/1980,202,85,345,325,,,,,Lube Banca Marche,M,Italy
14,Fei Alessandro,Fei,29/11/1978,202,92,367,326,13,188,326,,Sisley Treviso,M,Italy
15,Birarelli Emanuele,Birarelli,27/02/1981,202,85,345,326,7,,,,Itas Diatec Trentino,M,Italy
16,Bovolenta Vigor,Bovolenta,30/05/1974,202,95,367,327,8,171,179,,Copra Nordmeccanica Piacenza,M,Italy
17,Sala Andrea,Sala,05/12/1981,202,85,335,325,,,,,Acqua Paradiso Gabeca,M,Italy
18,Casoli Cristian,Casoli,27/01/1975,202,85,345,315,9,90,99,,Cimone Modena,M,Italy
19,Travica Dragan,Travica,28/08/1986,197,90,325,310,,,,,Sparkling Volley,M,Italy
