Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Anzanello Sara,Anzanello,30/07/1980,193,78,316,298,21,180,201,201,Asystel Novara,F,Italy
2,Arrighetti Valentina,Arrighetti,26/01/1985,185,62,294,280,2,,,,Foppapedretti Bergamo,F,Italy
3,Croce Paola,Croce,26/03/1978,167,52,290,265,5,,,,Foppapedretti Bergamo,F,Italy
4,Centoni Nadia,Centoni,16/06/1981,182,63,307,291,,104,,104,Cannes,F,Italy
5,Bosetti Lucia,Bosetti,09/07/1989,176,59,306,286,10,,,10,Unicom Starker Sassuolo,F,Italy
6,Fiorin Valentina,Fiorin,09/10/1984,187,69,305,287,10,102,,112,Foppapedretti Bergamo,F,Italy
7,Guiggi Martina,Guiggi,01/02/1984,189,69,310,280,10,75,,75,Scavolini Pesaro,F,Italy
8,Barazza Jenny,Barazza,24/07/1981,188,70,300,279,5,21,,26,Foppapedretti Bergamo,F,Italy
9,Secolo Manuela,Secolo,12/02/1977,180,58,305,279,5,21,,26,Famila Chieri,F,Italy
10,Cardullo Paola,Cardullo,18/03/1982,163,54,305,288,10,48,,48,Yamamay Busto Arsizio,F,Italy
11,Ortolani Serena,Ortolani,07/01/1987,187,73,306,289,10,48,,48,Foppapedretti Bergamo,F,Italy
12,Piccinini Francesca,Piccinini,10/01/1979,185,71,315,300,29,233,,267,Foppapedretti Bergamo,F,Italy
13,Ferretti Francesca,Ferretti,15/02/1984,176,66,305,285,,,,,Scavolini Pesaro,F,Italy
14,Lo Bianco Eleonora,Lo Bianco,22/12/1979,172,70,297,280,42,27,,69,Despar Sirio Perugia,F,Italy
15,Del Core Antonella,Del Core,05/03/1980,180,67,300,285,8,105,,113,Despar Sirio Perugia,F,Italy
16,Aguero Taismary,Aguero,05/03/1977,177,74,306,285,8,105,,113,Tur Telekom,F,Italy
17,Gioli Simona,Gioli,17/09/1977,185,70,308,285,8,105,,113,Despar Sirio Perugia,F,Italy
18,Pincerato Giulia,Pincerato,16/03/1987,182,68,294,279,1,,,1,Unicom Starker Sassuolo,F,Italy
