Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Saito Nobuharu,Saito,29/09/1973,205,95,345,330,11,139,150,,Toray Arrows,M,Japan
2,Sakamoto Yuichiro,Sakamoto,27/08/1975,195,88,343,333,25,,,,Suntory Sunbirds,M,Japan
3,Kitajima Takeshi,Kitajima,29/05/1982,191,85,345,325,26,,26,,Sakai Blazers,M,Japan
4,Shibata Kyohei,Shibata,24/06/1981,190,84,335,330,10,,10,,Toray Arrows,M,Japan
5,Usami Daisuke,Usami,30/01/1982,179,66,315,300,,,,,Panasonic Panthers,M,Japan
6,Iwata Masayuki,Iwata,30/01/1982,197,84,343,320,,,,,Panasonic Panthers,M,Japan
7,Yamamoto Takahiro,Yamamoto,12/07/1978,197,90,345,320,21,135,267,,Suntory Sunbirds,M,Japan
8,Ogino Masaji,Ogino,23/01/1970,197,98,345,320,11,225,267,,Suntory Sunbirds,M,Japan
9,Tomimatsu Takaaki,Tomimatsu,20/07/1984,191,85,345,320,,,,,Toray Arrows,M,Japan
10,Tanimura Ko,Tanimura,27/07/1984,193,85,345,325,,,,,Panasonic Panthers,M,Japan
11,Matsumoto Yoshihiko,Matsumoto,10/08/1983,190,85,345,320,49,,49,,NEC Blue Rockets,M,Japan
12,Yamamura Kota,Yamamura,18/02/1980,190,85,345,320,11,120,131,,Suntory Sunbirds,M,Japan
13,Shimizu Kunihiro,Shimizu,11/08/1986,195,95,345,320,42,,42,,Tokai Univ. Volleyball Club,M,Japan
14,Fukuzawa Tatsuya,Fukuzawa,01/12/1986,190,85,335,320,,,,,Chuo University,M,Japan
15,Tsumagari Katsutoshi,Tsumagari,01/12/1986,193,85,345,335,11,148,159,,Suntory Sunbirds,M,Japan
16,Ishijima Yusuke,Gottsu,20/01/1984,197,98,345,320,11,61,72,,Sakai Blazers,M,Japan
17,Koshikawa Yu,Koshikawa,29/05/1984,200,90,345,320,10,90,90,,Suntory Sunbirds,M,Japan
18,Tomonaga Kosuke,Tomonaga,18/02/1980,184,83,345,310,11,74,85,,Sakai Blazers,M,Japan
19,Sakai Daisuke,Sakai,22/10/1981,180,76,315,305,15,,,,JT Thunders,M,Japan
