Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Kurihara Megumi,Kurihara,31/07/1984,186,69,305,285,11,11,133,133,Pioneer Red Wings,F,Japan
2,Tajimi Asako,Tajimi,26/06/1972,180,70,309,304,22,239,,283,Pioneer Red Wings,F,Japan
3,Takeshita Yoshie,Takeshita,18/03/1978,159,52,280,270,11,189,,211,JT Marvelous,F,Japan
4,Omura Kanako,Omura,15/12/1976,184,70,319,310,11,119,,130,Hisamitsu Springs,F,Japan
5,Takahashi Miyuki,Shin,25/12/1978,170,65,295,285,11,199,,232,NEC Red Rockets,F,Japan
6,Sano Yuko,Sano,26/07/1979,159,54,260,250,11,67,,78,Hisamitsu Springs,F,Japan
7,Sugiyama Sachiko,Sugiyama,02/09/1974,184,66,305,275,11,70,,222,NEC Red Rockets,F,Japan
8,Sakurai Yuka,Sakurai,02/09/1974,167,63,295,275,70,,,70,Denso Airybees,F,Japan
9,Kano Miyuki,Kano,17/05/1977,174,65,295,275,10,,,10,Hisamitsu Springs,F,Japan
10,Shoji Yuki,Shoji,26/07/1985,170,60,305,303,32,,,32,Pioneer Red Wings,F,Japan
11,Araki Erika,Erica,03/08/1984,186,79,307,297,11,86,,97,Toray Arrows,F,Japan
12,Kimura Saori,Saori,19/08/1986,185,71,295,293,11,124,,124,Toray Arrows,F,Japan
13,Nishiwaki Mariko,Nishiwaki,17/06/1981,181,72,304,268,36,,,36,JT Marvelous,F,Japan
14,Kawai Yuki,Kawai,17/06/1981,168,63,304,275,,,,,Pioneer Red Wings,F,Japan
15,Uchida Yukiko,Uchida,18/07/1971,168,55,268,268,,,,,Pioneer Red Wings,F,Japan
