Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Zhukova Natalya,Zhukova,29/03/1980,184,70,305,285,10,,,10,Iller Bankasi,F,Kazakhstan
2,Pyurova Tatyana,Pyurova,06/04/1982,182,67,305,295,4,,,4,Zhetyssu,F,Kazakhstan
3,Anarbayeva Lyudmila,Anarbayeva,12/11/1983,192,76,295,280,,,,,Zhetyssu,F,Kazakhstan
4,Karpova Olga,Karpova,24/04/1980,185,64,305,295,1,4,,5,Rahat,F,Kazakhstan
5,Kutsko Yuliya,Kutsko,29/10/1981,191,75,305,295,1,5,,5,Rahat,F,Kazakhstan
6,Nassedikina Olga,Nassedikina,28/12/1982,191,75,305,295,,5,,5,Rahat,F,Kazakhstan
7,Ishimtseva Korinna,Ishimtseva,10/09/1984,184,73,305,295,,9,,9,Rahat,F,Kazakhstan
8,Ilyushchenko Xeniya,Ilyushchenko,29/05/1979,175,55,305,275,1,6,,7,Iller Bankasi,F,Kazakhstan
9,Ezau Yelena,Ezau,20/07/1976,180,63,305,295,1,11,,12,Ramaris,F,Kazakhstan
10,Grushko Olga,Grushko,25/09/1982,185,66,305,295,3,,,3,Rahat,F,Kazakhstan
11,Pavlova Yelena,Pavlova,02/03/1981,185,66,305,295,13,,,14,Hisamitsu,F,Kazakhstan
12,Matveyeva Inna,Matveyeva,12/06/1984,186,74,305,295,8,,,8,Rahat,F,Kazakhstan
13,Yavorskaya Stanislava,Yavorskaya,21/07/1989,187,70,300,290,,,,,Astana-Kanaty,F,Kazakhstan
14,Jarlagassova Sana,Jarlagassova,21/07/1989,187,70,300,290,,,,,Gracia,F,Kazakhstan
15,Mikholap Oxana,Mikholap,17/04/1977,185,72,290,285,,,,,Zhetyssu,F,Kazakhstan
