Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Nowakowski Piotr,Nowakowski,18/12/1987,205,90,355,340,,,,,Wkret-Met Domex AZS,M,Poland
2,Winiarski Michal,Winiarski,28/09/1983,200,82,355,335,11,87,98,,Itas Diatec Trentino (ITA),M,Poland
3,Gruszka Piotr,Gruszka,08/03/1977,206,92,350,330,20,215,245,,PGE Skra,M,Poland
4,Plinski Daniel,Plinski,10/12/1978,205,92,350,330,11,57,68,,PGE Skra,M,Poland
5,Zagumny Pawel,Zagumny,24/10/1977,200,82,345,320,14,206,225,,Mlekpol AZS,M,Poland
6,Kurek Bartosz,Kurek,29/08/1988,205,88,355,340,24,,,,ZAK SA,M,Poland
7,Grzyb Wojciech,Grzyb,04/01/1981,206,92,350,320,14,,53,,Mlekpol AZS,M,Poland
8,Wika Marcin,Wika,09/01/1983,200,85,350,320,17,,,,Asseco Resovia,M,Poland
9,Zygadlo Lukasz,Zygadlo,02/08/1979,200,85,345,325,10,117,127,,ZAK SA,M,Poland
10,Wlazly Mariusz,Wlazly,04/08/1983,200,85,345,325,,,,,PGE Skra,M,Poland
11,Kadziewicz Lukasz,Kadziewicz,20/09/1980,206,92,345,320,,,102,,Sparkling,M,Poland
12,Wojcik Pawel,Wojcik,22/09/1981,200,82,345,320,5,215,229,,Asseco Resovia,M,Poland
13,Swiderski Sebastian,Swiderski,26/06/1977,200,85,350,325,,,,,Lube Banca Marche Macerata (ITA),M,Poland
14,Gierczynski Krzysztof,Gierczynski,23/01/1976,193,82,345,315,,,,,Asseco Resovia,M,Poland
15,Gacek Piotr,Gacek,16/09/1978,185,78,340,315,11,45,56,,PGE Skra,M,Poland
16,Ignaczak Krzysztof,Ignaczak,16/05/1980,190,80,340,315,5,135,143,,Asseco Resovia,M,Poland
17,Bakiewicz Michal,Bakiewicz,21/08/1981,200,85,350,320,,,,,PGE Skra,M,Poland
18,Mozdzonek Marcin,Mozdzonek,09/02/1985,211,93,355,340,80,,,,Mlekpol AZS,M,Poland
19,Bartman Zbigniew,Bartman,04/05/1987,198,83,352,320,10,,,,Halkbank,M,Poland
