Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Skowronska-Dolata Katarzyna,Skowronska,30/06/1983,189,75,314,296,8,43,51,,Asistel,F,Poland
2,Zenik Mariola,Zenik,03/07/1982,174,64,300,290,,,,,Muszynianka,F,Poland
3,Dziekiewicz Eleonora,Dziekiewicz,20/11/1978,185,75,307,295,,,,,Aluprof,F,Poland
4,Gajgal Katarzyna,Gajgal,21/09/1981,185,75,300,287,,,,,Aluprof,F,Poland
5,Glaszekwicz Karolina,Glaszekwicz,07/10/1979,183,68,308,290,44,44,,,Aluprof,F,Poland
6,Podolec Anna,Podolec,30/10/1985,193,71,318,305,5,25,30,,Balakovska,F,Poland
7,Glinka-Mogentale Malgorzata,Glinka,30/09/1978,187,70,315,295,5,160,165,,Murcia,F,Poland
8,Godos Magdalena,Godos,09/09/1983,185,70,310,295,8,18,26,,Winiary,F,Poland
9,Bednarek Agnieszka,Bednarek,22/02/1986,187,70,309,292,,,,,Farmutil,F,Poland
10,Wozniakowska Anna,Wozniakowska,24/03/1986,185,67,308,292,5,,,,Winiary,F,Poland
11,Baranska Anna,Baranska,14/05/1984,178,66,308,292,5,,,,Winiary,F,Poland
12,Sadurek-Mikolajczyk Milena,Sadurek,18/04/1980,170,57,307,292,5,,,,Poppapedretti Bergamo,F,Poland
13,Rosner Milena,Rosner,04/01/1980,185,67,300,292,7,,,,Dinamo,F,Poland
14,Litkors Maria,Litkors,20/02/1985,187,66,307,292,,,,,Winiary,F,Poland
15,Sawicka Agata,Sawicka,18/06/1984,185,67,307,293,,,,,AWF AZS,F,Poland
16,Frackowiak Joanna,Frackowiak,28/07/1986,185,67,307,293,,,,,AWF AZS,F,Poland
17,Kaczor Joanna,Kaczor,24/07/1986,185,67,307,293,5,,,,Impel Gwardia,F,Poland
18,Skorupa Katarzyna,Skorupa,16/09/1984,182,69,302,296,,,,,Farmutil,F,Poland
19,Tomsia Berenika,Tomsia,11/03/1988,188,72,310,302,4,,,,Energa Gedania,F,Poland
