Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Korneev Alexander,Korneev,11/09/1980,200,96,348,339,11,148,159,,Dynamo,M,Russia
2,Poltavskiy Semen,Poltavskiy,08/02/1981,205,96,338,318,8,132,189,,Dynamo,M,Russia
3,Kosarev Alexander,Kosarev,30/09/1977,200,93,338,318,8,132,229,,Dynamo-Tatrancegas,M,Russia
4,Kruglov Pavel,Kruglov,17/09/1985,205,97,345,314,14,89,103,,Dynamo,M,Russia
5,Ushakov Konstantin,Ushakov,03/03/1970,190,78,330,320,31,436,497,,Dynamo-Yantar,M,Russia
6,Grankin Sergey,Grankin,21/01/1985,195,85,345,320,7,56,63,,Dynamo,M,Russia
7,Sokolov Alexander,Sokolov,27/01/1983,195,83,335,315,27,,,,Yaroslavich,M,Russia
8,Tetyukhin Sergey,Tetyukhin,23/09/1975,197,89,345,329,14,329,366,,Dynamo-TTG Kazan,M,Russia
9,Khamuttskikh Vadim,Vadim,26/11/1969,196,85,330,314,19,254,329,,Fakel Novy Urengoy,M,Russia
10,Berezhko Yury,Berezhko,27/01/1984,198,93,345,314,15,38,153,,Dynamo,M,Russia
11,Samsonychev Oleg,Samsonychev,11/03/1982,196,98,335,310,,38,,,Iskra,M,Russia
12,Krasikov Dmitry,Krasikov,15/02/1986,198,95,330,315,39,63,39,,"Lokomotiv, RUS",M,Russia
13,Ostapenko Alexey,Ostapenko,26/05/1986,206,95,345,340,,56,63,,Dynamo,M,Russia
14,Egorchev Andrey,Egorchev,26/01/1978,201,93,345,335,16,186,329,,Dynamo-TTG Kazan,M,Russia
15,Volkov Alexander,Volkov,14/02/1985,206,95,345,330,16,,,,Iskra,M,Russia
16,Verbov Alexey,Verbov,31/01/1982,182,75,335,315,11,94,113,,"Dynamo, RUS",M,Russia
17,Mikhaylov Maxim,Mikhaylov,19/03/1988,205,93,355,345,,,,,Iskra,M,Russia
18,Kuleshov Alexey,Kuleshov,24/02/1979,206,95,355,344,16,253,329,,Iskra,M,Russia
19,Yanutov Alexandr,Yanutov,19/06/1983,195,83,335,315,13,,,,Gazprom-Yugra,M,Russia
