Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Borodakova Maria,Borodakova,08/03/1986,190,80,312,308,9,46,55,,Dinamo,F,Russia
2,Murtazaeva Elena,Murtazaeva,25/08/1981,188,74,309,304,5,5,,,CSCA,F,Russia
3,Alimova Natalia,Alimova,09/12/1978,190,75,310,303,20,20,,,Leningradka,F,Russia
4,Fateeva Olga,Fateeva,04/05/1984,192,72,307,305,32,32,,,Zarechie-Odintsovo,F,Russia
5,Shashkova Liubov,Sokolova,04/07/1977,192,75,307,303,213,213,,,Zarechie-Odintsovo,F,Russia
6,Godina Elena,Godina,17/09/1977,196,72,317,310,214,214,,255,Dinamo,F,Russia
7,Safronova Natalya,Safronova,07/02/1979,184,72,315,306,421,421,,457,Uralochka-NTMK,F,Russia
8,Estes Evgenia,Estes,17/07/1975,191,73,306,297,161,161,,,Uralochka-NTMK,F,Russia
9,Kryuchkova Svetlana,Kryuchkova,21/02/1985,174,63,290,286,36,36,,,Zarechie-Odintsovo,F,Russia
10,Sedova Yulia,Sedova,03/08/1985,195,75,305,300,9,27,,,Avtodor-Metar,F,Russia
11,Gamova Ekaterina,Gamova,17/10/1980,202,80,317,310,172,172,,207,Dinamo,F,Russia
12,Sheshenina Marina,Sheshenina,26/06/1983,182,72,300,292,17,17,,,Uralochka-NTMK,F,Russia
13,Startseva Evgeniya,Startseva,12/02/1989,185,68,308,294,,,,,Avtodor-Metar,F,Russia
14,Kabeshova Ekaterina,Kabeshova,18/06/1982,176,63,298,290,9,36,,45,Uralochka-NTMK,F,Russia
15,Pasynkova Alexandra,Pasynkova,19/07/1985,182,68,302,292,,,,,Zarechie-Odintsovo,F,Russia
16,Merkulova Yulia,Merkulova,17/02/1984,202,75,307,305,,45,,45,Zarechie-Odintsovo,F,Russia
17,Kulikova Natalia,Kulikova,02/03/1985,181,70,305,290,9,17,,,Samorodok,F,Russia
18,Akulova Marina,Akulova,13/12/1985,181,70,305,290,9,17,,,Samorodok,F,Russia
19,Kosheleva Tatiana,Kosheleva,13/12/1988,191,67,315,305,26,26,,,Zarechie-Odintsovo,F,Russia
