Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Kovacevic Nikola,Kovacevic,14/02/1983,193,78,350,340,38,71,98,,RPA Perugia (ITA),M,Serbia
2,Bojovic Dejan,Bojovic,03/04/1983,198,86,360,345,11,71,82,,Gabeca Montichiari (ITA),M,Serbia
3,Bjelica Novica,Bjelica,09/02/1983,205,92,335,330,19,101,,,Copra Piacenza (ITA),M,Serbia
4,Janic Bojan,Janic,11/03/1983,198,83,345,322,118,,,,Marmi Lanza Verona (ITA),M,Serbia
5,Petkovic Vlado,Petkovic,09/08/1983,193,80,335,315,53,,,,Buducnost PB Podgorica (MNE),M,Serbia
6,Cupkovic Konstantin,Cupkovic,02/03/1987,202,84,337,315,7,23,,,Vojvodina Novolin N. Sad (SRB),M,Serbia
7,Stankovic Dragan,Stankovic,18/10/1985,205,87,340,333,11,9,83,,Crvena Zvezda Beograd (SRB),M,Serbia
8,Samardzic Marko,Samardzic,01/04/1982,202,88,335,310,11,74,85,,Volley Tours (FRA),M,Serbia
9,Grbic Nikola,Grbic N.,06/09/1973,194,91,346,320,22,32,218,,Itas Diatec Trentino (ITA),M,Serbia
10,Nikic Milos,Nikic,31/03/1986,195,84,340,322,11,61,,,Sparkling Milano (ITA),M,Serbia
11,Ilic Ivan,Ilic M. Ivan,12/09/1976,194,80,325,315,,,67,,Asseco Resovia (POL),M,Serbia
12,Geric Andrija,Geric,24/01/1977,201,93,335,320,18,66,84,,Crvena Zvezda Beograd (SRB),M,Serbia
13,Dokic Tomislav,Dokic,26/10/1983,206,95,350,335,23,83,,,Buducnost PB Podgorica (MNE),M,Serbia
14,Miljkovic Ivan,Miljkovic,16/09/1979,206,93,345,330,14,154,208,,M. Roma (ITA),M,Serbia
15,Starovic Sasa,Starovic,19/10/1988,207,92,345,335,,,,,Buducnost PB Podgorica (MNE),M,Serbia
16,Petric Nemanja,Petric,27/07/1987,202,84,345,320,,,,,Buducnost PB Podgorica (MNE),M,Serbia
17,Radic Dejan,Radic,21/11/1983,205,92,345,335,,,,,Famigliulo Corigliano (ITA),M,Serbia
18,Podrascanin Marko,Podrascanin,29/08/1987,204,92,343,326,7,52,79,,Famigliulo Corigliano (ITA),M,Serbia
19,Rosic Nikola,Rosic,05/08/1984,185,85,328,315,,,,,Moerser SC Berlin (GER),M,Serbia
