Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Nikolic Jelena,Nikolic,13/04/1982,194,75,315,300,21,161,182,,VC Takefuji Bamboo (JPN),F,Serbia
2,Brakocevic Jovana,Brakocevic,05/03/1988,196,75,309,295,11,97,108,,Spes Volley Conegliano (ITA),F,Serbia
3,Djerisilo-Stankovic Ivana,Djerisilo,08/03/1983,185,72,306,287,11,58,69,,VBC Volero Zurich (SUI),F,Serbia
4,Antonijevic Ana,Antonijevic,26/08/1987,185,75,307,290,11,65,65,,Postar 064 Beograd (SRB),F,Serbia
5,Krsmanovic Natasa,Krsmanovic,19/06/1985,186,74,308,295,15,78,,78,VBC Volero Zurich (SUI),F,Serbia
6,Majstorovic Jasna,Majstorovic,23/04/1984,180,65,295,280,11,76,,76,Postar 064 Beograd (SRB),F,Serbia
7,Molnar Brizitka,Molnar,28/07/1983,184,72,305,295,15,78,84,,SCU Metal Galati (ROM),F,Serbia
8,Zivkovic Bojana,Zivkovic,03/03/1986,182,68,283,265,15,63,78,,Crvena Zvezda Beograd (SRB),F,Serbia
9,Vesovic Jovana,Vesovic,21/06/1987,182,68,283,265,15,97,112,,Jedinstvo Uzice (SRB),F,Serbia
10,Ognjenovic Maja,Ognjenovic,06/08/1984,183,70,306,295,15,110,,110,SCU Metal Galati (ROM),F,Serbia
11,Citakovic Vesna,Citakovic,03/02/1979,187,67,305,300,15,171,186,,Eczacibasi SK Istanbul (TUR),F,Serbia
12,Petrovic Aleksandra,Petrovic,23/09/1986,180,66,295,280,11,45,45,,ZOK Rijeka KSVO (CRO),F,Serbia
13,Simanic Maja,Simanic,04/11/1989,183,70,295,281,15,70,,,C. Zvezda Beograd (SRB),F,Serbia
14,Ninkovic Nadja,Ninkovic,01/11/1991,195,72,308,296,7,45,,,Hit Nova Gorica (SLO),F,Serbia
15,Malagurski Sanja,Malagurski,23/07/1988,190,75,296,281,7,70,,,Crvena Zvezda Beograd (SRB),F,Serbia
16,Nesovic Ivana,Nesovic,23/07/1988,190,75,296,281,7,70,,,Crvena Zvezda Beograd (SRB),F,Serbia
17,Veljkovic Stefana,Veljkovic,16/01/1990,188,72,307,296,15,,,,Postar 064 Beograd (SRB),F,Serbia
18,Cebic Suzana,Cebic,09/11/1984,167,60,270,255,11,52,63,,Jedinstvo Uzice (SRB),F,Serbia
19,Popovic Silvija,Popovic,15/03/1986,175,60,228,226,5,26,31,,Postar064 Beograd (SRB),F,Serbia
