Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Ball Loy,Ball,17/02/1972,203,95,351,316,18,25,334,377,Sport Club Dinamo,M,USA
2,Rooney Sean,Rooney,13/11/1982,206,100,343,336,11,41,,,Dinamo-Yantar Kaliningrad,M,USA
3,Patak Evan,Patak,23/06/1984,201,113,345,336,8,,,,Aris Thessalonica,M,USA
4,Lee David,Lee,08/03/1982,203,103,345,330,18,78,78,,Halk Bankasi Spor Kulubu,M,USA
5,Lambourne Richard,Lambourne,06/05/1975,190,84,335,320,13,137,148,,PZU AZS Olsztyn,M,USA
6,Eatherton Phillip,Eatherton,02/01/1974,206,100,365,335,8,23,168,199,AZS Czestochowa,M,USA
7,Jablonsky Jayson,Jablonsky,23/07/1983,196,85,345,330,,5,,,UC Irvine,M,USA
8,Priddy William,Priddy,01/10/1977,200,85,345,331,13,156,171,,Lokomotiv Novosibirsk,M,USA
9,Millar Ryan,Millar,22/01/1978,204,93,343,329,14,229,,,Sparkling Milano,M,USA
10,Salmon Riley,Salmon,07/07/1976,196,85,343,320,12,171,,,Top Volley SRL,M,USA
11,Billings Brook,Billings,30/04/1980,198,93,345,320,14,134,,,AZS Czestochowa,M,USA
12,Hoff Thomas,Hoff,06/06/1973,204,93,345,335,8,249,272,,Fakel New Urengoy,M,USA
13,Stanley Clayton,Stanley,20/01/1978,205,94,350,345,8,11,149,,Sport Club Dinamo,M,USA
14,Hansen Kevin,Hansen,19/03/1982,196,93,343,335,11,71,71,,Poitiers,M,USA
15,Gardner Gabriel,Gardner,18/03/1976,206,103,365,343,14,125,144,,Sparkling Milano,M,USA
16,Taliaferro Richard Brandon,Taliaferro,28/09/1977,196,84,335,315,13,31,42,,ACH Volley,M,USA
17,Thomas Delano,Thomas,26/01/1981,198,86,344,330,5,,,,ACH Volley,M,USA
18,Touzinsky Scott,Touzinsky,22/04/1982,198,86,344,330,5,,,,ACH Volley,M,USA
19,Reft Alfredo,Reft,15/12/1982,175,80,319,309,,,,,Budva,M,USA
