Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Nnamani Ogonna,Nnamani,29/07/1983,185,80,315,305,6,46,52,,Asystel Volley Novora,F,USA
2,Scott-Arruda Danielle,Scott-Arruda,01/10/1972,188,84,325,302,22,29,299,,Desportiva Classista Finasa,F,USA
3,Haneef-Park Tayyiba,Haneef-Park,23/03/1979,200,80,330,320,12,173,,203,Eczacibasi Istanbul,F,USA
4,Berg Lindsey,Berg,16/07/1980,173,75,287,274,6,122,128,,Asystel Volley,F,USA
5,Sykora Stacy,Sykora,12/06/1977,175,72,287,274,6,122,128,,Jogging Volley Altamura,F,USA
6,Davis Nicole,Davis,24/04/1982,167,73,284,266,11,79,90,,USA National Team,F,USA
7,Bown Heather,Bown,29/11/1978,188,75,319,304,8,22,202,,Pieralisi Volley,F,USA
8,Barboza Cynthia,Barboza,06/02/1987,183,70,310,285,3,71,74,,Stanford University,F,USA
9,Joines Jennifer,Joines,23/11/1982,191,80,315,301,11,102,113,,Toyota Auto Body Co.,F,USA
10,Glass Kimberly,Glass,23/08/1984,191,83,318,295,25,,,,Fenerbahce Spor Kulubu,F,USA
11,Ah Mow-Santos Robyn,Ah Mow-Santos,15/09/1975,172,67,291,281,14,211,236,,VBC Volero Zurich,F,USA
12,Willoughby Kim,Willoughby,07/11/1980,178,70,293,285,8,,,,Chieri Volleyball,F,USA
13,Richards Kristin,Richards,30/06/1985,185,72,294,284,5,,,,Belogorie Belgorod,F,USA
14,Tom Logan,Tom,25/05/1981,185,79,351,300,8,128,147,,Club Dinamo Moscow,F,USA
15,Akinradewo Foluke,Akinradewo,05/10/1987,191,79,351,300,19,,,,USA National Team,F,USA
16,McGinnis Angela,McGinnis,03/11/1984,191,82,315,308,19,,,,USA National Team,F,USA
17,Busse Cassandra,Busse,15/01/1982,190,82,308,290,11,68,79,,USA National Team,F,USA
18,Stalls Tracy,Stalls,12/06/1984,188,79,307,292,11,31,31,,USA National Team,F,USA
