Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Ramos Ismel,Ismel,18/04/1985,195,78,341,336,2,2,,,Raision Loimu,M,Venezuela
2,Yustiz Deivi,Deivi,15/06/1985,195,76,345,331,2,1,3,,Yaracuy,M,Venezuela
3,Rojas Andy,Andy,02/10/1977,197,95,315,318,7,28,35,,Ermoli Castelnuovo,M,Venezuela
4,Silva Joel,Joel,14/10/1985,188,78,341,329,4,21,25,,Apure,M,Venezuela
5,Valera Rodman,Rodman,18/09/1982,188,85,339,332,4,21,25,,Compoktuna,M,Venezuela
6,Luna Carlos,Carlos,25/04/1981,194,85,339,331,5,22,27,,Toyoda,M,Venezuela
7,Diaz Luis,Luis,08/07/1983,204,94,338,334,1,13,,,Tonno Callipo (ITA),M,Venezuela
8,Siso Pedro,Siso,23/03/1986,195,86,347,341,2,2,4,,Lara,M,Venezuela
9,Soteldo Francisco,Soteldo,05/03/1986,196,88,343,327,,23,23,,Bolivar,M,Venezuela
10,Mendez Ronald,Ronald,27/07/1983,195,90,355,350,3,39,47,,Toyoda Gosei,M,Venezuela
11,Gomez Ernardo,Harry,30/07/1982,195,90,355,350,3,39,47,,Almeria,M,Venezuela
12,Tejeda Carlos,Carlos,15/01/1985,202,95,345,332,,,8,,Verening,M,Venezuela
13,Marquez Ivan,Ivan,04/10/1981,205,85,352,343,3,6,,,Taviano,M,Venezuela
14,Ereu Thomas,Thomas,25/07/1979,195,85,353,345,4,15,19,,Zulia,M,Venezuela
15,Valderrama Gustavo,Gustavo,14/10/1984,185,80,319,309,4,15,19,,Zulia,M,Venezuela
16,Silva Jorge,Silva,22/04/1980,186,85,335,331,2,20,22,,Regatas San Nicolas,M,Venezuela
17,Blanco Juan Carlos,Juan C.,06/03/1980,188,85,345,332,,27,27,,Karava,M,Venezuela
18,Cedeno Fredy,Fredy,10/09/1981,205,95,353,348,3,15,18,,Arona Tenerife,M,Venezuela
