Nr,Name/First Name,Nickname,Birthdate,H,W,S,B,OG,WC,OTH,Total,Club,Sex,Country
1,Paz Hidalgo Yessica,Yessica,07/10/1989,192,72,304,300,,,,,Aragua,F,Venezuela
2,Delfines Melendez Luz,Luz,17/05/1991,193,75,305,301,,,,,Zulia,F,Venezuela
3,Brito Medina Daymari,Daymari,04/05/1990,176,68,240,236,,,,,Yaracuy,F,Venezuela
4,Hernandez Navas Milagros,Milagros,09/04/1990,178,63,240,236,,,,,Bolivar,F,Venezuela
5,Franchesco Machado Genesis,Genesis,06/05/1990,174,58,236,232,,,,,Miranda,F,Venezuela
6,Valero Balaguer Maria,Maria,18/09/1991,165,60,245,242,,,,,Barinas,F,Venezuela
7,Villar Mayora Amarilis,Amarilis,30/03/1984,178,70,300,296,,,,,Vargas,F,Venezuela
8,Andrade Andrade Jayce,Jayce,19/05/1984,188,73,300,296,,,,,Zulia,F,Venezuela
9,Glod Desiree,Desiree,28/09/1982,176,64,305,301,,,,,Miranda,F,Venezuela
10,Valdez Pol Nelmaira,Nelmaira,21/06/1984,181,64,300,296,,,,,Bolivar,F,Venezuela
11,Quijada Teran Geraldine,Geraldine,31/01/1989,179,65,286,282,,,,,D.C.,F,Venezuela
12,Shirley Florian Diaz,Shirley,27/07/1991,178,64,286,282,,,,,Zulia,F,Venezuela
13,Blanco Iriarte Aleoscar,Aleoscar,18/07/1987,189,70,300,296,,,,,Vargas,F,Venezuela
14,Perez Gonzalez Maria Jose,Maria J,18/03/1988,188,69,300,296,,,,,Llaneras,F,Venezuela
15,Perez Rodriguez Marianegel,Marianegel,21/06/1991,180,66,295,291,,,,,Vargas,F,Venezuela
16,Acosta Alvarado Roslandy,Roslandy,25/02/1992,190,62,295,291,,,,,Vargas,F,Venezuela
17,Romero Franco Wendy,Wendy,08/02/1992,178,71,295,291,,,,,Cojedes,F,Venezuela
