No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
1,HENNAOUI Sehryne,HENNAOUI S.,"1.72/5'8""",69/152,285,273,10 JAN 1988,"Hainaut Volleyball, Valenciennes (FRA)",0,5,15,20,Algeria,F
2,ACHOUR Dallal Merwa,ACHOUR,"1.75/5'9""",60/132,279,273,03 NOV 1994,"ESF Mouzaia, Blida (ALG)",0,0,12,12,Algeria,F
3,HAMMOUCHE Salima,SALIMA,"1.58/5'2""",54/119,270,265,17 JAN 1984,"G.S. Petroliers, Alger (ALG)",5,0,10,15,Algeria,F
5,KHAMTACHE Amel,KHAMTACHE,"1.81/5'11""",65/143,303,235,04 MAY 1990,"G.S. Petroliers, Alger (ALG)",0,0,5,5,Algeria,F
8,BENSALEM Zohra,BENSALEM,"1.78/5'10""",68/150,310,299,05 APR 1994,"G.S. Petroliers, Alger (ALG)",5,0,50,55,Algeria,F
11,ABDERRAHIM Mouni,MOUNI,"1.74/5'9""",62/136,295,290,19 NOV 1985,"ASW Bejaia, Bejaia (ALG)",11,5,80,96,Algeria,F
12,BOUKHIMA Safia,BOUKHIMA,"1.77/5'10""",64/141,291,281,01 AUG 1985,"G.S. Petroliers, Alger (ALG)",5,0,58,63,Algeria,F
13,MANSOURI Nawal,MANSOURI,"1.74/5'9""",64/141,291,281,02 FEB 1986,"G.S. Petroliers, Alger (ALG)",11,5,73,89,Algeria,F
18,AISOU Tassadit,SASSA,"1.84/6'0""",76/167,305,285,29 JUN 1988,"Nedjmet Chlef, Chlef (ALG)",5,0,40,45,Algeria,F
19,BOURIHANE Celia,BOURIHANE,"1.77/5'10""",60/132,285,235,22 JAN 1995,"Ncbejaia, Bejaia (ALG)",8,0,20,28,Algeria,F
