No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
1,,ARROYO Gabriel,ARROYO,"1.94/6'4""",95/209,352,327,03 MAR 1977,"Ciudad de Bolivar, San Carlos de Bolivar (ARG)",0,0,115,115,Argentina,M
2,,CASTELLANI Ivan,CASTELLANI,"1.98/6'6""",83/183,336,320,19 JAN 1991,"Puerto San Martin, Puerto San Martin (ARG)",0,0,53,53,Argentina,M
5,,URIARTE Nicolas,URIARTE,"1.96/6'5""",82/181,338,318,21 MAR 1990,"Buenos Aires Unidos, Buenos Aires (ARG)",0,0,115,115,Argentina,M
6,,POGLAJEN Cristian,POGLAJEN,"1.94/6'4""",91/201,346,330,14 JUL 1989,"Sarmiento Santana Textile, Chaco (ARG)",0,0,94,94,Argentina,M
7,,CONTE Facundo,CONTE,"1.98/6'6""",96/211,345,321,25 AUG 1989,"Dynamo Krasnodar, Krasnodar (RUS)",0,0,143,143,Argentina,M
9,C,QUIROGA Rodrigo,QUIROGA,"1.90/6'3""",86/190,345,321,23 MAR 1987,"Vivo-Minas, Minas Gerais (BRA)",0,0,152,152,Argentina,M
10,,BRUNO Nicolas,BRUNO,"1.87/6'2""",88/194,338,318,24 FEB 1989,"Buenos Aires Unidos, Buenos Aires (ARG)",0,0,103,103,Argentina,M
11,,SOLE Sebastian,SOLE,"2.00/6'7""",98/216,348,328,12 JUN 1991,"Ciudad de Bolivar, San Carlos de Bolivar (ARG)",0,0,142,142,Argentina,M
12,,PEREYRA Federico,PEREYRA,"2.03/6'8""",96/211,352,331,10 JUN 1988,"La Union de Formosa, Formosa (ARG)",0,0,103,103,Argentina,M
14,,CRER Pablo,CRER,"2.03/6'8""",93/218,352,330,12 JUN 1988,"Ciudad de Bolivar, San Carlos de Bolivar (ARG)",0,0,94,94,Argentina,M
15,,de CECCO Luciano,DE CECCO,"1.84/6'0""",83/183,345,325,02 JUN 1988,"Copra Elior Piacenza, Piacenza (ITA)",0,0,143,143,Argentina,M
16,L,GONZALEZ Alexis,GONZALEZ A.,"1.90/6'3""",76/167,325,312,21 JUL 1981,"Ciudad de Bolivar, San Carlos de Bolivar (ARG)",0,0,133,133,Argentina,M
