No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
1,,ZINGEL Aidan,Zingel,"2.07/6'10""",98/216,361,346,19 NOV 1990,"Verona Bluvolley, Verona (ITA)",3,0,100,103,Australia,M
3,,ROBERTS Nathan,Roberts,"1.97/6'6""",93/205,342,328,17 FEB 1986,"CMC Ravenna, Ravenna (ITA)",8,0,245,253,Australia,M
5,,PASSIER Travis,Passier,"2.05/6'9""",101/223,352,340,26 APR 1983,"M.Roma Volley, Rome (ITA)",0,0,111,114,Australia,M
6,C,YUDIN Igor,Yudin,"1.98/6'6""",90/198,340,324,17 JUN 1987,"Yaroslavich Yaroslavl, Yaroslavl (RUS)",3,0,81,232,Australia,M
7,,PEACOCK Harrison,Peacock,"1.94/6'4""",86/190,353,337,31 JAN 1991,"Linkoping Volleyball Club, Linkoping (SWE)",0,0,46,46,Australia,M
8,,GRANT Andrew,Grant,"2.07/6'10""",98/216,353,337,22 APR 1985,"Australian Inst. of Sport, Canberra (AUS)",3,0,229,237,Australia,M
9,,WHITE Adam,White,"2.03/6'8""",90/198,351,336,08 NOV 1989,"Langhenkel Volley, Doetinchem (NED)",3,0,115,118,Australia,M
14,L,TUTTON Aden,Tutton,"1.96/6'5""",87/192,337,324,18 FEB 1988,"SK Chemes Humenne, Humenne (SVK)",0,0,61,61,Australia,M
16,,SMITH Luke,Smith,"1.97/6'6""",92/214,347,335,30 AUG 1990,"Linkoping Volleyball Club, Linkoping (SWE)",0,0,66,66,Australia,M
18,,WILLIAMS Lincoln Alexander,Williams,"1.97/6'6""",103/227,353,330,06 OCT 1993,"Australian Inst. of Sport, Canberra (AUS)",0,0,13,13,Australia,M
19,,EDGAR Thomas,Edgar,"2.12/6'11""",112/247,362,352,21 JUN 1989,"Caffe Aiello Corigliano, Corigliano Calabro (ITA)",3,0,93,96,Australia,M
