No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,National Selections WCH,OG,Int,Tot,Country,Sex
1,,REZENDE Bruno,BRUNO,"1.90/6'3""",76/168,323,302,02 JUL 1986,"RJX, Rio de Janeiro (BRA)",16,2,47,65,Brazil,M
4,,de SOUZA Wallace,WALLACE,"1.98/6'6""",103/227,344,318,26 JUN 1987,"Sada Cruzeiro, Contagem (BRA)",14,0,37,51,Brazil,M
6,,dos SANTOS JUNIOR Sidnei,SIDAO,"2.03/6'8""",98/216,348,319,09 JUL 1982,"SESI, Sao Paulo (BRA)",9,0,30,30,Brazil,M
7,,VISSOTTO NEVES Leandro,VISSOTTO,"2.12/6'11""",97/214,370,345,30 APR 1983,"Cuneo, Trento (ITA)",3,0,31,34,Brazil,M
8,C,GODOY FILHO Gilberto,GIBA,"1.90/6'3""",76/168,345,318,23 DEC 1976,"Cimed/Sky, Florianopolis (BRA)",42,5,274,331,Brazil,M
9,,ENDRES Murilo,MURILO,"1.90/6'3""",76/168,345,319,03 MAY 1981,"SESI, Sao Paulo (BRA)",16,0,39,55,Brazil,M
10,L,SANTOS Sergio,SERGIO,"1.84/6'0""",76/168,330,302,15 OCT 1975,"SESI, Sao Paulo (BRA)",16,0,39,55,Brazil,M
11,,ALVES Thiago Soares,THIAGO,"1.94/6'4""",88/194,343,308,26 JUL 1986,"RJX, Rio de Janeiro (BRA)",16,0,40,55,Brazil,M
14,,SANTANA Rodrigo,RODRIGO,"2.09/6'10""",101/223,360,337,17 APR 1989,"RJX, Sao Paulo (BRA)",9,0,37,53,Brazil,M
16,,SAATKAMP Lucas,LUCAS,"2.09/6'10""",101/223,360,337,06 MAR 1986,"RJX, Sao Paulo (BRA)",16,0,37,53,Brazil,M
17,,GARCIA Ricardo,RICARDO,"2.01/6'7""",97/214,337,335,19 NOV 1975,"Volei Futuro, Aracatuba (BRA)",22,8,270,300,Brazil,M
18,,AMARAL Dante,DANTE,"2.01/6'7""",97/214,335,327,30 SEP 1980,"RJX, Rio de Janeiro (BRA)",21,16,215,162,Brazil,M
