No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
1,CLAUDINO Fabiana,FABIANA,"1.94/6'4""",74/163,314,293,24 JAN 1985,"Fenerbahce, Istanbul (TUR)",14,13,76,103,Brazil,F
3,LINS Danielle,DANI LINS,"1.83/6'0""",73/161,290,276,05 JAN 1985,"Sesi/SP, Sao Paulo (BRA)",13,0,12,25,Brazil,F
4,PEQUENO Paula,PAULA,"1.84/6'0""",74/163,302,285,22 JAN 1982,"Volei Futuro, Sao Paulo (BRA)",24,8,84,116,Brazil,F
5,SILVA Adenizia,ADENIZIA,"1.83/6'0""",62/137,312,290,18 DEC 1986,"Sollys Osasco, Osasco (BRA)",6,0,35,41,Brazil,F
6,MENEZES Thaisa,THAISA,"1.96/6'5""",65/143,308,299,15 MAY 1987,"Sollys Osasco, Osasco (BRA)",14,6,59,79,Brazil,F
8,CARVALHO Jaqueline,JAQUE,"1.86/6'1""",70/154,302,286,31 DEC 1983,"Sollys Osasco, Osasco (BRA)",13,5,58,76,Brazil,F
9,FERREIRA Fernanda,FERNANDINHA,"1.72/5'8""",66/145,288,278,10 JAN 1980,"Igtisadchi Baku, Baku (AZE)",12,0,33,45,Brazil,F
11,CAIXETA Tandara,TANDARA,"1.84/6'0""",89/192,295,285,30 OCT 1988,"Sollys Osasco, Osasco (BRA)",0,0,29,29,Brazil,F
12,PEREIRA Natalia,NATALIA,"1.83/6'0""",72/159,302,288,04 APR 1989,"Unilever, Rio de Janeiro (BRA)",14,0,131,145,Brazil,F
13,CASTRO Sheila,SHEILLA,"1.87/6'2""",64/141,302,284,01 JUL 1983,"Sollys Osasco, Osasco (BRA)",16,7,72,95,Brazil,F
14,OLIVEIRA Fabiana,FABI,"1.66/5'5""",55/121,276,264,07 MAR 1980,"Unilever, Rio de Janeiro (BRA)",11,7,75,93,Brazil,F
16,RODRIGUES Fernanda,FE GARAY,"1.79/5'10""",70/155,306,284,10 MAY 1986,"Volei Futuro, Sao Paulo (BRA)",0,0,54,54,Brazil,F
