No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,National Selections WCH,OG,Int,Tot,Country,Sex
1,,BRATOEV Georgi,Bratoev G.,"2.02/6'8""",88/194,335,318,21 OCT 1987,"Levski Volley, Sofia (BUL)",0,0,0,16,Bulgaria,M
7,,SKRIMOV Todor,Skrimov,"1.90/6'3""",73/161,340,310,13 JAN 1990,"Paris Volley, Paris (FRA)",0,0,0,16,Bulgaria,M
9,,DIMITROV Dobromir,Dimitrov,"1.93/6'4""",73/161,335,325,07 JUL 1991,"Pirin Balkanstroy, Razlog (BUL)",0,0,0,0,Bulgaria,M
10,,BRATOEV Valentin,Bratoev V.,"2.01/6'7""",95/209,335,325,03 OCT 1977,"SSD Argus Volley, Sofia (BUL)",0,0,0,16,Bulgaria,M
11,C,NIKOLOV Vladimir,Nikolov V.,"2.01/6'7""",95/209,335,325,03 OCT 1977,"Copra Piacenza, Istanbul (TUR)",20,6,114,140,Bulgaria,M
12,,YOSIFOV Viktor,Yosifov,"2.04/6'8""",95/209,350,330,16 OCT 1985,"Pallavolo Modena, Castellana Grote (ITA)",0,0,16,16,Bulgaria,M
13,L,SALPAROV Teodor,Salparov,"1.85/6'1""",78/172,330,300,16 AUG 1982,"CSKA Sofia, Sofia (BUL)",0,0,16,16,Bulgaria,M
14,,TODOROV Teodor,Todorov,"2.08/6'10""",94/207,365,345,01 SEP 1983,"Gazprom - Ugra Surgut, Surgut (RUS)",10,4,65,107,Bulgaria,M
15,,ALEKSIEV Todor,Aleksiev,"2.05/6'9""",94/207,345,335,21 APR 1986,"Gazprom - Ugra Surgut, Surgut (RUS)",10,4,65,61,Bulgaria,M
17,,PENCHEV Nikolay,Penchev,"1.96/6'5""",86/190,335,325,22 MAY 1992,"Copra Piacenza, Piacenza (ITA)",0,0,10,10,Bulgaria,M
18,,NIKOLOV Nikolay,Nikolov N.,"2.05/6'9""",100/220,362,319,29 JUL 1986,"Callipo Sport SRL, Vibo Valentia (ITA)",0,0,71,71,Bulgaria,M
19,,SOKOLOV Tsvetan,Sokolov,"2.05/6'9""",100/220,365,345,31 DEC 1989,"Trentino Diatec, Trentino (ITA)",0,0,71,71,Bulgaria,M
