No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
1,VARGAS VALDEZ Annerys Victoria,Valdez,"1.96/6'5""",70/154,327,320,07 AUG 1981,"Seleccion Nacional, Santo Domingo (DOM)",36,5,216,257,Dominican Republic,F
3,EVE MEJIA Lisvel Elisa,Eve-Mejia,"1.94/6'4""",70/154,325,315,10 SEP 1991,"Mirador, Santo Domingo (DOM)",23,0,116,139,Dominican Republic,F
5,CASTILLO Brenda,Castillo,"1.67/5'6""",55/121,235,230,05 JUN 1992,"San Cristobal, San Cristobal (DOM)",10,0,126,136,Dominican Republic,F
7,MARTE FRICA Niverka Dharlenis,Marte,"1.78/5'10""",71/157,295,285,19 OCT 1990,"Deportivo Nacional, Santo Domingo (DOM)",15,0,69,84,Dominican Republic,F
8,ARIAS PEREZ Candida Estefany,Arias,"1.92/6'4""",68/150,320,315,11 MAR 1992,"San Cristobal, San Cristobal (DOM)",29,0,80,109,Dominican Republic,F
9,NUNEZ Sidarka de los Milagros,Nunez,"1.80/5'11""",62/137,330,325,25 JUN 1984,"Malanga, Santo Domingo (DOM)",28,5,201,234,Dominican Republic,F
10,CABRAL de la CRUZ Milagros,Cabral,"1.81/5'11""",63/139,330,325,17 OCT 1978,"Los Cachorros, Santo Domingo (DOM)",36,5,342,383,Dominican Republic,F
12,ECHENIQUE MEDINA Karla Miguelina,Echenique,"1.80/5'11""",65/143,300,290,15 MAY 1986,"Deportivo Nacional, Santo Domingo (DOM)",17,0,101,118,Dominican Republic,F
13,RONDON MARTINEZ Cindy Carolina,Rondon,"1.86/6'1""",65/143,320,315,12 NOV 1987,"Mirador, Santo Domingo (DOM)",23,0,115,138,Dominican Republic,F
14,RIVERA BRENS Prisilla Altagracia,Rivera,"1.86/6'1""",67/148,320,315,12 JAN 1986,"San Pedro, San Pedro de Macoris (DOM)",36,5,272,313,Dominican Republic,F
17,MAMBRU CASILLA Gina Altagracia,Mambru,"1.88/6'2""",70/154,340,330,13 MAY 1987,"Los Cachorros, Santo Domingo (DOM)",26,0,190,216,Dominican Republic,F
18,de la CRUZ de PENA Bethania,De La Cruz,"1.88/6'2""",70/154,340,330,13 MAY 1987,"Deportivo Nacional, Santo Domingo (DOM)",26,0,190,216,Dominican Republic,F
