No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,National Selections WCH,OG,Int,Tot,Country,Sex
1,,POPP Marcus,Popp,1.92/6'4'',93/205,358,338,23 SEP 1981,"Tours VB, Tours (FRA)",11,5,112,128,Germany,M
2,L,STEUERWALD Markus,M. Steuerwald,1.82/6'0'',86/190,340,318,07 MAR 1989,"Paris Volley, Paris (FRA)",0,0,70,70,Germany,M
3,,SCHWARZ Sebastian,Schwarz,1.97/6'6'',95/209,346,325,02 OCT 1985,"Fidia Padova, Padova (ITA)",0,0,113,121,Germany,M
4,,TISCHER Simon,Tischer,1.94/6'4'',97/214,350,330,24 APR 1982,"Jastrzebski Wegiel, Jastrzebie Zdroj (POL)",20,5,166,189,Germany,M
5,C,ANDRAE Bjorn,Andrae,2.00/6'7'',97/214,350,330,14 MAY 1981,"Kuzbass Kemerovo, Kemerovo (RUS)",20,5,250,275,Germany,M
6,,KALIBERDA Denys,Kaliberda,1.94/6'4'',97/214,355,325,24 JUN 1990,"Vibo Valentia, Vibo Valentia (ITA)",0,0,16,16,Germany,M
8,,BOHME Marcus,Bohme,2.11/6'11'',115/254,374,345,25 AUG 1985,"VfB Friedrichshafen, Friedrichshafen (GER)",8,2,126,132,Germany,M
9,,GROZER Gyorgy,Grozer,2.00/6'7'',103/227,363,330,29 NOV 1986,"Belogorie Belgorod, Belgorod (RUS)",19,3,219,243,Germany,M
10,,SCHOPS Jochen,Schops,2.00/6'7'',103/227,363,330,08 OCT 1983,"Asseco Resovia Rzeszow, Rzeszow (POL)",19,3,219,243,Germany,M
11,,KAMPA Lukas,Kampa,1.95/6'5'',86/190,344,314,16 JUN 1984,"Belogorie Belgorod, Belgorod (RUS)",6,0,147,162,Germany,M
13,,DUNNES Christian,Dunnes,1.10/6'0'',110/243,350,325,16 JUN 1984,"Generali Haching, Haching (GER)",0,0,54,54,Germany,M
15,,GUNTHOR Max,Gunthor,1.96/6'5'',96/212,355,320,09 AUG 1985,"Generali Haching, Haching (GER)",8,2,147,162,Germany,M
