No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
1,,BAKARE Peter,P.BAKARE,"1.96/6'5""",93/205,359,339,02 JUL 1989,"Landstede Zwolle, Zwolle (NED)",0,0,29,29,Great Britain,M
2,C,PIPES Ben,PIPES,"2.04/6'8""",93/205,363,318,21 OCT 1986,"Landstede Zwolle, Zwolle (NED)",0,0,0,117,Great Britain,M
3,L,BAKARE Oluwadamilola,D.BAKARE,"1.97/6'6""",93/205,363,330,22 SEP 1988,"VC Argex Duvel, Puurs (BEL)",0,0,0,80,Great Britain,M
4,,HUNTER Daniel,HUNTER,"1.83/6'0""",83/190,330,300,23 JAN 1990,"Landstede Zwolle, Zwolle (NED)",0,0,0,80,Great Britain,M
5,,PLOTYCZER Mark,PLOTYCZER,"1.95/6'5""",86/190,344,316,19 FEB 1987,"St-Brieuc, St-Brieuc (FRA)",0,0,0,63,Great Britain,M
7,,McGIVERN Mark,McGIVERN,"1.95/6'5""",86/190,344,316,24 FEB 1983,"Avignon, Avignon (FRA)",0,0,0,102,Great Britain,M
8,,HALDANE Jason,HALDANE,"2.03/6'8""",106/234,350,321,23 JUL 1971,"CSKA Sofia, Sofia (BUL)",0,0,0,45,Great Britain,M
9,,PINK Andrew,PINK,"1.91/6'3""",85/187,333,310,15 DEC 1983,"Amicale Laique Canteleu M, Maromme (FRA)",0,0,0,69,Great Britain,M
10,,FRENCH Nathan,FRENCH,"1.83/6'0""",83/190,333,310,20 APR 1990,"Avignon, Avignon (FRA)",0,0,0,96,Great Britain,M
12,,MILLER Joel,MILLER,"2.00/6'7""",88/194,337,305,07 DEC 1982,"VBK Klagenfurt, Klagenfurt (AUT)",0,0,0,79,Great Britain,M
17,,O'MALLEY Kieran,O'MALLEY,"2.00/6'7""",88/194,337,305,12 MAY 1988,"Abiant Lycurgus, Groningen (NED)",0,0,0,114,Great Britain,M
