No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
1,LEAF Savanah,LEAF,"1.83/6'0""",73/161,316,289,24 NOV 1993,"San Jose State University, SAN JOSE CALIFORNIA (US)",0,0,5,5,Great Britain,F
2,WICKS Lucy,WICKS,"1.73/5'8""",62/137,285,274,20 MAR 1982,"Alemannia Aachen, AACHEN (GER)",0,0,89,89,Great Britain,F
4,LAYBOURNE Rachel,LAYBOURNE,"1.79/5'10""",67/148,299,279,19 MAY 1982,"Silesia Volley Myslowice, MYSLOWICE (POL)",0,0,81,81,Great Britain,F
6,TAYLOR Jennifer,TAYLOR,"1.78/5'10""",71/157,287,278,16 AUG 1980,"TFM / DOK Dwingeloo, DRENTHE (NED)",0,0,91,91,Great Britain,F
7,BERTELLI Maria,BERTELLI,"1.71/5'7""",63/139,279,263,06 OCT 1977,"VBC Koeniz, KOENIZ (SUI)",0,0,94,94,Great Britain,F
8,BRAGG Rachel,BRAGG,"1.84/6'0""",75/165,300,282,11 DEC 1984,"VT Aurubis Hamburg, HAMBURG (GER)",0,0,79,79,Great Britain,F
9,MORGAN Joanne,MORGAN,"1.70/5'7""",63/139,300,282,07 OCT 1983,"TFM / DOK Dwingeloo, DRENTHE (NED)",0,0,89,89,Great Britain,F
10,BEATTIE Lynne,BEATTIE,"1.82/6'0""",65/143,314,300,07 DEC 1985,"CV Las Palmas de Gran Can, LAS PALMAS (ESP)",0,0,74,74,Great Britain,F
12,REID Elizabeth,REID,"1.73/5'8""",62/132,314,300,21 MAR 1988,"University of Georgia, ATHENS GEORGIA (USA)",0,0,78,78,Great Britain,F
17,SANDELL Janine,SANDELL,"1.83/6'0""",78/172,304,291,10 AUG 1988,"Valeriano Alles Menorca, MENORCA (ESP)",0,0,77,77,Great Britain,F
18,CARTER Grace,CARTER,"1.84/6'0""",78/172,304,291,02 JUL 1985,"Olympic Torville, TERVILLE (FRA)",0,0,86,86,Great Britain,F
19,MICHEL Ciara,MICHEL,"1.94/6'4""",82/181,320,302,02 JUL 1985,"Alemannia Aachen, AACHEN (GER)",0,0,23,23,Great Britain,F
