No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
3,CROCE Paola,CROCE,"1.67/5'6""",52/115,290,265,06 MAR 1978,"Liu Jo Volley Modena, Modena (ITA)",0,0,112,112,Italy,F
5,RONDON Giulia,RONDON,"1.89/6'2""",74/163,304,280,16 OCT 1987,"Icos Crema, Crema (ITA)",10,10,107,117,Italy,F
6,de GENNARO Monica,DE GENNARO,"1.74/5'9""",67/148,315,290,08 JAN 1987,"Scavolini Pesaro, Pesaro (ITA)",0,0,63,63,Italy,F
8,BARAZZA Jenny,BARAZZA,"1.88/6'2""",72/159,300,285,24 JUL 1981,"Liu Jo Volley Modena, Modena (ITA)",10,10,252,273,Italy,F
9,BOSETTI Caterina,BOSETTI C.,"1.79/5'10""",59/130,299,281,02 FEB 1994,"MC-Carnaghi Villa Cortese, Villa Cortese (ITA)",0,0,24,24,Italy,F
12,PICCININI Francesca,PICCININI,"1.84/6'0""",71/157,309,279,10 JAN 1979,"Foppapedretti BG, Bergamo (ITA)",20,16,427,463,Italy,F
13,ARRIGHETTI Valentina,ARRIGHETTI,"1.85/6'1""",72/159,294,280,26 JAN 1985,"Foppapedretti BG, Bergamo (ITA)",10,10,137,147,Italy,F
14,LO BIANCO Eleonora,LO BIANCO,"1.80/5'11""",70/154,296,279,22 DEC 1979,"Galatasaray Istanbul, Istanbul (TUR)",29,16,473,518,Italy,F
15,del CORE Antonella,DEL CORE,"1.80/5'11""",70/154,296,279,05 NOV 1980,"Fakel Novy Urengoy, Novy Urengoy (TUR)",16,10,215,221,Italy,F
16,BOSETTI Lucia,BOSETTI L.,"1.75/5'9""",70/154,290,280,09 JUL 1989,"MC-Carnaghi Villa Cortese, Villa Cortese (ITA)",10,10,138,148,Italy,F
17,GIOLI Simona,GIOLI,"1.85/6'1""",72/159,307,283,17 SEP 1977,"Fakel Novy Urengoy, Novy Urengoy (TUR)",10,11,280,301,Italy,F
18,COSTAGRANDE Carolina del Pilar,COSTAGRANDE,"1.88/6'2""",80/176,315,291,15 OCT 1980,"Guangdong Evergrande, Guangdong (CHN)",0,0,41,41,Italy,F
