No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
2,NAKAMICHI Hitomi,NAKAMICHI,"1.59/5'3""",53/117,270,256,18 SEP 1985,"Toray Arrows, Otsu, Shiga (JPN)",11,0,40,51,Japan,F
3,TAKESHITA Yoshie,TAKESHITA,"1.59/5'3""",53/117,280,270,18 MAR 1978,"JT Marvelous, Nishinomiya, Hyogo (JPN)",18,12,278,308,Japan,F
4,YAMAGUCHI Mai,YAMAGUCHI,"1.76/5'9""",62/137,302,290,03 JUL 1983,"Okayama Seagulls, Okayama, Okayama (JPN)",11,0,55,66,Japan,F
5,ARAKI Erika,ARAKI,"1.86/6'1""",70/154,308,298,03 AUG 1984,"Toray Arrows, Otsu, Shiga (JPN)",18,6,149,173,Japan,F
7,INOUE Kaori,INOUE,"1.82/6'0""",59/130,306,300,21 OCT 1982,"Denso Airybees, Nishio, Aichi (JPN)",11,0,41,52,Japan,F
8,KANO Maiko,KANO,"1.85/6'1""",63/139,260,250,26 JUL 1979,"Besiktas, Istanbul (TUR)",23,6,143,172,Japan,F
10,SANO Yuko,SANO,"1.59/5'3""",53/117,260,250,24 MAR 1982,"JT Marvelous, Nishinomiya, Hyogo (JPN)",11,6,79,96,Japan,F
11,OTOMO Ai,AI,"1.84/6'0""",66/146,295,268,11 JUL 1990,"Hisamitsu Springs, Kobe, Hyogo (JPN)",0,0,40,40,Japan,F
12,SHINNABE Risa,RISA,"1.73/5'8""",66/146,295,268,18 DEC 1987,"Toray Arrows, Otsu, Shiga (JPN)",0,0,40,40,Japan,F
14,SAKODA Saori,SAKODA,"1.75/5'9""",64/141,305,290,07 NOV 1989,"Hitachi Rivale, Hitachinaka, Ibaraki (JPN)",11,0,56,67,Japan,F
16,KIMURA Saori,SAORI,"1.86/6'1""",80/176,312,305,19 AUG 1986,"Toray Arrows, Otsu, Shiga (JPN)",18,12,181,211,Japan,F
