No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
3,HA Joon-Eem,HA Joon-eem,"1.88/6'2""",73/161,287,281,26 DEC 1989,"Korea Highway Corp., Seongnam (KOR)",0,0,16,16,Korea,F
4,KIM Sa-Nee,KIM Sa-nee,"1.77/5'10""",65/143,302,292,21 JUN 1981,"Heungkuk Life Insurance, Incheon (KOR)",20,8,144,172,Korea,F
5,KIM Hae-Ran,KIM Hae-ran,"1.68/5'6""",57/126,280,270,16 MAR 1984,"Korea Highway Corp., Seongnam (KOR)",9,0,69,78,Korea,F
7,LIM Hyo-Sook,LIM Hyo-sook,"1.78/5'10""",79/174,287,270,29 JUL 1982,"Korea Highway Corp., Seongnam (KOR)",0,0,23,23,Korea,F
10,KIM Yeon-Koung,KIM Yeon-koung,"1.92/6'4""",73/161,307,299,26 FEB 1988,"Heungkuk Life Insurance, Incheon (KOR)",9,0,75,84,Korea,F
11,HAN Yoo-Mi,HAN Yoo-mi,"1.83/6'0""",71/156,305,298,05 SEP 1984,"Korea Ginseng Corp., Daejeon (KOR)",20,0,60,80,Korea,F
12,HAN Song-Yi,HAN Song-yi,"1.86/6'1""",65/143,305,298,05 SEP 1984,"GS Caltex, Seoul (KOR)",9,8,53,70,Korea,F
13,JUNG Dae-Young,JUNG Dae-young,"1.85/6'1""",75/165,305,298,25 AUG 1981,"GS Caltex, Seoul (KOR)",20,10,98,128,Korea,F
14,HWANG Youn-Joo,HWANG Youn-joo,"1.77/5'10""",62/150,294,284,13 AUG 1986,"Hyundai, Suwon (KOR)",9,6,54,69,Korea,F
17,YANG Hyo-Jin,YANG Hyo-jin,"1.87/6'1""",67/148,305,294,29 APR 1991,"Hyundai, Suwon (KOR)",0,0,54,54,Korea,F
19,KIM Hee-Jin,KIM Hee-jin,"1.86/6'1""",75/165,300,295,01 JUN 1991,"IBK, Hwaseong (KOR)",0,0,60,60,Korea,F
20,LEE Sook-Ja,LEE Sook-ja,"1.68/5'6""",57/126,278,264,17 JUN 1980,"GS Caltex, Seoul (KOR)",0,0,78,78,Korea,F
