No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
1,,NOWAKOWSKI Piotr,Nowakowski,"2.06/6'9""",105/231,355,340,18 DEC 1987,"Asseco Resovia, Rzeszow (POL)",6,0,66,72,Poland,M
2,,WINIARSKI Michal,Winiarski,"1.94/6'4""",94/207,355,335,28 SEP 1983,"PGE Skra, Belchatow (POL)",17,6,113,136,Poland,M
4,,KOSOK Grzegorz,Kosok,"2.05/6'9""",96/212,345,325,02 MAR 1986,"Asseco Resovia, Rzeszow (POL)",0,0,31,31,Poland,M
5,,ZAGUMNY Pawel,Zagumny,"2.00/6'7""",88/194,335,317,18 OCT 1978,"ZAKSA, Kedzierzyn Kozle (POL)",6,2,299,331,Poland,M
6,,KUREK Bartosz,Kurek,"2.07/6'9""",104/229,352,332,29 AUG 1988,"PGE Skra, Belchatow (POL)",6,0,102,108,Poland,M
7,,JAROSZ Jakub,Jarosz,"1.97/6'6""",93/205,352,330,10 FEB 1987,"Top Volley, Latina (ITA)",0,0,76,76,Poland,M
9,,BARTMAN Zbigniew,Bartman,"1.98/6'6""",96/212,352,320,04 MAY 1987,"Jastrzebski Wegiel, Jastrzebie Zdroj (POL)",6,0,102,102,Poland,M
13,,KUBIAK Michal,Kubiak,"1.90/6'3""",81/179,335,320,23 FEB 1988,"Jastrzebski Wegiel, Jastrzebie Zdroj (POL)",0,0,74,74,Poland,M
14,,RUCIAK Michal,Ruciak,"1.94/6'4""",92/203,330,320,22 AUG 1983,"ZAKSA, Kedzierzyn Kozle (POL)",0,0,69,69,Poland,M
15,,ZYGADLO Lukasz,Zygadlo,"2.00/6'7""",94/207,352,320,02 OCT 1979,"Trentino Volley, Trento (ITA)",10,2,210,210,Poland,M
16,L,IGNACZAK Krzysztof,Ignaczak,"1.87/6'2""",95/209,330,318,15 MAY 1978,"Asseco Resovia, Rzeszow (POL)",9,12,261,261,Poland,M
18,C,MOZDZONEK Marcin,Mozdzonek,"2.11/6'11""",105/231,358,340,09 FEB 1985,"PGE Skra, Belchatow (POL)",6,7,147,331,Poland,M
