No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Highest Reach Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
3,,APALIKOV Nikolay,Apalikov,"2.03/6'8""",106,353,344,26 AUG 1982,"Zenit Kazan, Kazan (RUS)",0,0,45,45,Russia,Men
4,C,KHTEY Taras,Khtey,"2.09/6'10""",109,351,330,22 MAY 1982,"Belogorie, Belgorod (RUS)",15,7,110,132,Russia,Men
5,,GRANKIN Sergey,Grankin,"1.95/6'5""",89,351,320,21 JAN 1985,"Dinamo, Moscow (RUS)",18,7,126,151,Russia,Men
8,,TETYUKHIN Sergey,Tetyukhin,"1.97/6'6""",89,339,310,23 SEP 1975,"Belogorie, Belgorod (RUS)",24,21,367,412,Russia,Men
9,,SOKOLOV Alexander,Sokolov,"1.92/6'4""",87,315,315,01 MAR 1982,"Fakel, Novy Urengoy (RUS)",0,0,42,42,Russia,Men
12,,BEREZHKO Yury,Berezhko,"1.98/6'6""",87,319,312,27 JAN 1986,"Zenit Kazan, Kazan (RUS)",11,7,40,51,Russia,Men
13,,BUTKO Alexander,Butko,"2.02/6'8""",94,335,327,18 MAR 1986,"Lokomotiv, Novosibirsk (RUS)",0,0,40,40,Russia,Men
15,,MUSERSKIY Dmitry,Muserskiy,"2.18/7'2""",115,375,347,29 OCT 1988,"Belogorie, Belgorod (RUS)",8,6,46,46,Russia,Men
17,,ILINYKH Dmitriy,Ilinykh,"2.02/6'8""",94,333,330,31 JAN 1987,"Belogorie, Belgorod (RUS)",0,0,40,40,Russia,Men
18,,MIKHAYLOV Maxim,Mikhaylov,"2.10/6'11""",95,345,341,19 FEB 1988,"Zenit Kazan, Kazan (RUS)",17,13,158,158,Russia,Men
20,L,OBMOCHAEV Alexey,Obmochaev,"1.88/6'2""",85,325,310,22 MAY 1989,"Zenit Kazan, Kazan (RUS)",0,0,3,3,Russia,Men
