No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
1,BORISENKO Maria,Borodakova,"1.90/6'3""",80/176,301,297,08 MAR 1986,"Dinamo-Kazan, Kazan (RUS)",20,6,53,79,Russia,F
3,PEREPELKINA Maria,Perepelkina,"1.87/6'2""",72/159,304,300,09 MAR 1984,"Dinamo Moscow, Moscow (RUS)",11,0,17,28,Russia,F
4,ESTES Evgenia,Estes,"1.91/6'3""",80/176,315,306,17 JUL 1975,"Uralochka-NTMK, Ekaterinburg (RUS)",17,19,428,464,Russia,F
6,SHASHKOVA Liubov,Sokolova,"1.91/6'3""",73/161,310,300,04 DEC 1977,"Fenerbahce, Istanbul (TUR)",19,3,188,210,Russia,F
7,MATIENKO Anna,Matienko,"1.82/6'0""",68/150,298,292,12 JUL 1981,"Dinamo Moscow, Moscow (RUS)",0,0,0,0,Russia,F
8,KRYUCHKOVA Svetlana,Kryuchkova,"1.74/5'9""",59/130,290,281,21 FEB 1985,"Dinamo Moscow, Moscow (RUS)",20,0,34,54,Russia,F
11,GONCHAROVA Nataliya,Obmochaeva,"1.94/6'4""",75/165,315,306,01 JUN 1989,"Dinamo Moscow, Moscow (RUS)",11,0,17,28,Russia,F
13,GAMOVA Ekaterina,Gamova,"2.02/6'8""",80/176,321,310,17 OCT 1980,"Dinamo-Kazan, Kazan (RUS)",31,21,179,231,Russia,F
14,STARTSEVA Evgeniya,Startseva,"1.85/6'1""",68/150,305,292,05 AUG 1986,"Dinamo-Krasnodar, Krasnodar (RUS)",11,0,24,35,Russia,F
15,KOSHELEVA Tatiana,Kosheleva,"1.91/6'3""",76/148,315,308,23 DEC 1988,"Dinamo-Krasnodar, Krasnodar (RUS)",11,0,34,45,Russia,F
16,MERKULOVA Iuliia,Merkulova,"2.02/6'8""",80/176,321,310,17 FEB 1984,"Dinamo Moscow, Moscow (RUS)",20,6,43,69,Russia,F
