No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Highest Reach Block cm,Date of Birth,Club,WCH,OG,Int,Tot
1,,KOVACEVIC Nikola,KOVACEVIC N.,1.93/6'4'',78/172,350,340,14 FEB 1983,"Gubemia Nizhniy Novgorod, Nizhniy Novgorod (RUS)",8,3,134,145
2,,KOVACEVIC Uros,KOVACEVIC U.,1.97/6'6'',90/198,340,310,02 FEB 1993,"ACH Volley, Ljubljana (SLO)",0,0,38,38
4,C,JANIC Bojan,JANIC,1.98/6'6'',83/183,345,322,11 MAR 1982,"Fakel Novy Urengoy, Novy Urengoy (RUS)",17,6,206,229
5,,PETKOVIC Vlado,PETKOVIC V.,1.98/6'6'',97/214,340,315,06 JAN 1983,"Umbria Volley srl, Perugia (ITA)",8,6,142,156
7,,STANKOVIC Dragan,STANKOVIC,2.00/6'7'',97/214,345,320,18 OCT 1985,"A.S. Volley Lube SRL, Macerata (ITA)",6,0,135,141
10,,NIKIC Milos,NIKIC,1.94/6'4'',79/174,330,315,31 MAR 1986,"Gabeca Pallavolo SPA, Montichiari (ITA)",19,6,165,165
12,,RASIC Milan,RASIC,2.05/6'9'',86/190,340,320,02 FEB 1989,"ACH Volley, Ljubljana (SLO)",0,0,46,52
14,,ATANASIJEVIC Aleksandar,ATANASIJEVIC,2.03/6'8'',86/190,335,320,04 SEP 1991,"PGE Skra Belchatow, Belchatow (POL)",0,0,42,42
15,,STAROVIC Sasa,STAROVIC,2.07/6'9'',89/196,335,321,19 OCT 1988,"Top Volley SRL Latina, Latina (ITA)",8,6,119,139
18,,PODRASCANIN Marko,PODRASCANIN,2.07/6'9'',97/214,345,340,29 AUG 1987,"A.S. Volley Lube SRL, Macerata (ITA)",19,6,124,138
19,L,ROSIC Nikola,ROSIC,1.92/6'4'',85/187,328,315,05 AUG 1984,"VFB Friedrichshafen, Friedrichshafen (GER)",7,0,91,98
