No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
2,BRAKOCEVIC Jovana,BRAKOCEVIC,"1.96/6'5""",82/181,309,295,05 MAR 1988,"JT Marvelous, Nishinomiya (JPN)",22,6,132,160,Serbia,F
3,DJERISILO Ivana,DJERISILO,"1.85/6'1""",72/159,277,252,08 AUG 1983,"Urbino Volley, Urbino (ITA)",11,6,68,85,Serbia,F
4,ZIVKOVIC Bojana,ZIVKOVIC,"1.78/5'10""",70/154,292,284,29 MAR 1988,"VBC Volero Zurich, Zurich (SUI)",0,0,60,60,Serbia,F
5,KRSMANOVIC Natasa,KRSMANOVIC,"1.88/6'2""",73/161,304,273,19 JUN 1985,"Rabita Baku, Baku (AZE)",21,6,149,176,Serbia,F
7,MIHAJLOVIC Brankica,MIHAJLOVIC,"1.90/6'3""",75/165,308,292,13 APR 1991,"VBC Volero Zurich, Zurich (SUI)",0,0,19,19,Serbia,F
9,VESOVIC Jovana,VESOVIC,"1.82/6'0""",68/150,283,268,21 JUN 1987,"Tomis Constanta, Constanta (ROU)",22,6,133,161,Serbia,F
10,OGNJENOVIC Maja,OGNJENOVIC,"1.83/6'0""",68/150,320,305,06 AUG 1984,"Liu Jo Volley Modena, Modena (ITA)",22,6,151,179,Serbia,F
11,VELJKOVIC Stefana,VELJKOVIC,"1.90/6'3""",76/160,302,305,09 JAN 1990,"Asystel Novara S.P.A., Novara (ITA)",11,6,87,104,Serbia,F
16,RASIC Milena,RASIC,"1.94/6'4""",75/165,309,295,25 OCT 1990,"RC de Cannes, Cannes (FRA)",0,0,56,56,Serbia,F
18,CEBIC Suzana,CEBIC,"1.67/5'6""",60/132,317,304,09 NOV 1984,"VfB 91 Suhl, Suhl (GER)",21,0,112,139,Serbia,F
19,STAROVIC Sanja,STAROVIC,"1.81/5'11""",70/154,267,242,01 DEC 1988,"Rabita Baku, Baku (AZE)",0,0,22,22,Serbia,F
20,BLAGOJEVIC Jelena,BLAGOJEVIC,"1.81/5'11""",70/154,267,242,01 DEC 1988,"Volley Urbino, Urbino (ITA)",0,0,22,22,Serbia,F
