No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Highest Reach Block cm,Date of Birth,Club,WCH,OG,Int,Tot
2,,KADHI Ahmed,KADHI A,1.98/6'6'',97/214,345,318,19 APR 1989,"Club Olympic Kelibia, Kelibia (TUN)",3,0,25,28
3,,M'RABET Marouane,M'RABET M,1.84/6'0'',81/179,315,296,05 JUN 1985,"Club Olympic Kelibia, Kelibia (TUN)",10,0,0,20
7,,KARAMOSLY Elyes,KARAMOSLY E,1.94/6'4'',104/229,320,303,27 AUG 1989,"Esperance Sportive Tunis, Tunis (TUN)",0,0,0,0
8,,BEN SLIMANE Mohamed,BEN SLIMANE M,1.87/6'2'',73/161,312,294,29 NOV 1981,"Etoile Sportive de Tunis, Sousse (TUN)",15,0,35,50
10,,NAGGA Hamza,NAGGA H,1.96/6'5'',86/190,346,311,10 MAY 1990,"Club Olympic Kelibia, Kelibia (TUN)",3,0,25,28
11,L,MOALLA Ismail,MOALLA I,1.96/6'5'',67/148,334,308,30 JAN 1990,"Club Sportif Sfaxien, Sfax (TUN)",15,0,0,25
13,C,HFAIEDH Noureddine,HFAIEDH N,1.97/6'6'',94/207,350,315,27 AUG 1973,"Etoile Sportive de Tunis, Sousse (TUN)",35,5,155,195
14,,BEN HASSINE Bilel,B. HASSINE B,1.83/6'0'',86/190,330,315,22 JUN 1983,"Club Sportif Sfaxien, Sfax (TUN)",15,0,35,50
15,,BEN CHEIKH Mehdi,BEN CHEIKH M,1.85/6'1'',94/207,330,315,13 MAY 1979,"Club Sportif Sfaxien, Sfax (TUN)",10,0,45,55
16,,KAABI Hichem,KAABI H,1.96/6'5'',88/194,330,315,13 SEP 1986,"Esperance Sportive Tunis, Tunis (TUN)",3,0,7,7
18,,ZOUARI Hakim,ZOUARI H,1.98/6'6'',104/229,350,320,28 MAR 1988,"Club Sportif Sfaxien, Sfax (TUN)",3,0,25,28
