No,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
2,KAYALAR KUZUBASIOGLU Gulden,KUZUBASIOGLU,"1.67/5'6""",58/128,281,275,05 DEC 1980,"Eczacibasi Spor Kulubu, Istanbul (TUR)",24,0,150,174,Turkey,F
3,GURESEN Gizem,GURESEN,"1.78/5'10""",68/150,270,250,14 JAN 1987,"Vakifbank Spor Kulubu, Istanbul (TUR)",0,0,55,55,Turkey,F
6,USLUPEHLIVAN Polen,POLEN,"1.92/6'4""",71/157,308,300,27 AUG 1990,"Vakifbank Spor Kulubu, Istanbul (TUR)",0,0,75,75,Turkey,F
8,TOKSOY Bahar,TOKSOY,"1.90/6'3""",68/150,315,300,06 FEB 1988,"Eczacibasi Spor Kulubu, Istanbul (TUR)",0,0,0,0,Turkey,F
9,KIRDAR CEMBERCI Ozge,CEMBERCI,"1.83/6'0""",68/150,304,297,26 JUN 1985,"Vakifbank Spor Kulubu, Istanbul (TUR)",0,0,24,24,Turkey,F
10,SONSIRMA Gozde,SONSIRMA,"1.86/6'1""",68/150,307,300,14 AUG 1990,"Fenerbahce Spor Kulubu, Istanbul (TUR)",12,0,95,107,Turkey,F
12,GUMUS Esra,GUMUS,"1.88/6'2""",76/168,310,291,02 OCT 1982,"Eczacibasi Spor Kulubu, Istanbul (TUR)",1,0,112,113,Turkey,F
13,OZSOY Neriman,OZSOY,"1.88/6'2""",76/168,310,297,13 JUL 1988,"Galatasaray Spor Kulubu, Istanbul (TUR)",2,0,0,2,Turkey,F
17,DARNEL Neslihan,DARNEL,"1.87/6'2""",72/159,315,306,09 DEC 1983,"Eczacibasi Spor Kulubu, Istanbul (TUR)",24,0,150,174,Turkey,F
20,CANSU Busra,CANSU,"1.86/6'1""",70/154,306,292,16 JUL 1990,"Eczacibasi Spor Club, Istanbul (TUR)",3,0,0,3,Turkey,F
