No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot
1,,ANDERSON Matthew,ANDERSON,"2.08/6'10""",93/205,360,332,18 APR 1987,"Pallavolo Modena SSDRL, Modena (ITA)",7,0,89,89
2,,ROONEY Sean,ROONEY,"2.06/6'9""",100/220,354,326,13 NOV 1982,"Gabeca Pallavolo, Montichiari (ITA)",8,8,122,138
4,,LEE David,LEE,"2.02/6'8""",102/225,354,325,08 MAR 1982,"Dinamo Moscow, Moscow (RUS)",8,4,175,191
5,L,LAMBOURNE Richard,LAMBOURNE,"1.91/6'3""",90/220,324,312,06 MAY 1975,"USA Men's Volleyball Team, Anaheim (USA)",20,4,246,274
6,,LOTMAN Paul,LOTMAN,"2.01/6'7""",92/203,354,332,03 NOV 1985,"Resovia SA Rzeszow, Rzeszow (POL)",0,0,24,42
7,,SUXHO Donald,SUXHO,"1.96/6'5""",95/209,337,319,21 FEB 1976,"Volley Treviso SPA, Treviso (ITA)",11,4,159,159
8,,PRIDDY William,PRIDDY,"1.94/6'4""",91/200,337,319,01 OCT 1977,"Zenit Kazan, Kazan (RUS)",25,16,216,239
11,,THORNTON Brian,THORNTON,"1.91/6'3""",91/200,332,312,22 APR 1985,"KS Jastrzebski Wegiel SA, Jastrzebie Zdroj (POL)",0,0,102,102
12,,HOLMES Russell,HOLMES,"2.03/6'8""",93/205,355,335,01 JUL 1982,"KS Jastrzebski Wegiel SA, Jastrzebie Zdroj (POL)",0,0,96,96
13,C,STANLEY Clayton,STANLEY,"2.06/6'9""",105/231,358,345,20 JAN 1978,"Ural UFA, UFA (RUS)",20,16,211,253
16,,McKENZIE David,McKENZIE,"1.93/6'4""",101/223,348,314,05 JUL 1979,"Kuwait Sporting Club, Kuwait City (KUW)",17,0,135,152
20,,SMITH David,SMITH,"2.01/6'7""",107/236,360,340,15 MAY 1985,"Tours Volleyball, Tours (FRA)",0,0,53,53
