No,C/L,Name,Shirt Name,Height m / ft in,Weight kg / lbs,Highest Reach Spike cm,Block cm,Date of Birth,Club,WCH,OG,Int,Tot,Country,Sex
2,,SCOTT-ARRUDA Danielle,SCOTT-ARRUDA,"1.91/6'3""",85/187,325,302,01 OCT 1972,"Cultural Metodista, Sao Paulo (BRA)",29,30,351,410,USA,F
3,,HANEEF-PARK Tayyiba,HANEEF-PARK,"2.01/6'7""",88/194,328,312,23 MAR 1979,"Igtisadchi Baku, Baku (AZE)",14,14,227,263,USA,F
4,C,BERG Lindsey,BERG,"1.73/5'8""",77/170,284,274,16 JUL 1980,"GSO Villa Cortese, Villa Cortese (ITA)",11,11,163,208,USA,F
5,L,MIYASHIRO Tamari,MIYASHIRO,"1.70/5'7""",65/143,284,266,08 JUL 1987,"BKS Stal Bielsko-Biala, Bielsko-Biala (POL)",11,11,101,112,USA,F
6,,DAVIS Nicole,DAVIS,"1.65/5'5""",64/141,284,266,24 APR 1982,River Volley SSD ARL (ITA),11,11,209,209,USA,F
10,,LARSON Jordan,LARSON,"1.88/6'2""",79/174,320,297,16 OCT 1986,"Dinamo Kazan, Kazan (RUS)",0,7,89,89,USA,F
11,,HODGE Megan,HODGE,"1.85/6'1""",74/163,320,297,15 OCT 1988,"Atom Trefl Sopot, Sopot (POL)",0,7,89,89,USA,F
13,,HARMOTTO Christa,HARMOTTO,"1.85/6'1""",79/174,320,297,25 MAY 1981,"ASD Universal Volley, Carpi (ITA)",22,16,163,179,USA,F
15,,TOM Logan,TOM,"1.85/6'1""",79/174,320,297,04 NOV 1984,"Fenerbahce Acibadem, Istanbul (TUR)",11,22,227,227,USA,F
17,,AKINRADEWO Foluke,AKINRADEWO,"1.89/6'2""",79/174,330,312,07 SEP 1987,"Dinamo Krasnodar, Krasnodar (RUS)",11,11,54,121,USA,F
19,,HOOKER Destinee,HOOKER,"2.01/6'7""",88/194,331,312,07 SEP 1987,"Osasco Voleibol Clube, Sao Paulo (BRA)",11,11,54,121,USA,F
