No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Bruno Nicolas,Bruno,24.02.89,187,85,338,318,6,4,43,49,Personal Bolivar,Argentina,M
2,Flores Fabian,Flores,25.05.91,194,85,335,315,6,4,40,46,Club Ciudad de Campana,Argentina,M
3,Martinez Franchi Jan,Martinez,28.01.98,197,85,338,318,6,4,40,46,Club Ciudad de Buenos Aires,Argentina,M
4,Ramos Martin,Ramos,30.03.94,199,90,350,340,6,4,42,48,UPC San Juan,Argentina,M
5,Uriarte Nicolas,Uriarte,21.03.90,192,84,340,330,9,4,45,58,PGE Skra Belchatow,Argentina,M
6,Poglaijen Cristian,Poglaijen,14.09.89,194,91,342,320,8,4,42,54,PGE Skra Belchatow,Argentina,M
7,Conte Facundo,Conte,25.08.89,198,88,358,340,9,8,51,68,Volei Canoas,Argentina,M
8,Gonzalez Demian,Gonzalez D.,06.01.83,189,86,318,318,6,4,40,50,Personal Bolivar,Argentina,M
9,Quiroga Rodrigo,Quiroga R.,23.07.87,190,86,348,335,9,6,45,60,BBTS Bielsko-Biala,Argentina,M
10,Sole Sebastian,Sole,12.06.91,202,90,358,340,6,4,44,54,Energy T.I. Diatec Trentino,Argentina,M
11,Lima Bruno,Lima,04.02.96,194,86,343,330,6,4,42,52,Club Obras De San Juan,Argentina,M
12,Palacios Ezequiel,Palacios,02.10.92,193,89,345,335,6,4,43,53,La Union de Formosa,Argentina,M
13,Cer Pablo,Cer,02.03.86,198,96,358,345,6,4,50,60,Personal Bolivar,Argentina,M
14,De Cecco Luciano,De Cecco,02.06.88,195,85,315,310,18,8,106,132,Sir Safety Perugia,Argentina,M
15,Gonzalez Alexis,Gonzalez A.,21.07.81,184,83,310,305,6,4,45,55,Ciudad de Bolivar,Argentina,M
