No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
2,Acosta Tanya,Acosta,11.03.91,182,70,287,280,6,0,40,46,GELP,Argentina,F
3,Nizetich Paula Yamila,Nizetich,27.01.89,181,74,295,305,12,2,120,132,Nilufer,Argentina,F
4,Segui Sabrina,Segui,12.05.78,180,68,288,285,8,0,72,80,Boca Jrs,Argentina,F
5,Fresco Lucia,Fresco,14.05.91,194,70,314,290,9,2,59,68,Urbino,Argentina,F
7,Aispurua Natalia,Aispurua,20.12.91,191,74,309,293,9,1,45,55,Boca Juniors,Argentina,F
8,Piccolo Sol,Piccolo,11.09.96,174,60,294,284,3,0,45,48,Velez Sarsfield,Argentina,F
9,Sagardia Clarisa,Sagardia,29.06.89,174,64,290,284,2,0,20,22,Boca Juniors,Argentina,F
10,Sosa Emilce,Sosa,11.09.87,180,75,305,305,10,2,94,109,Rio Do Soul,Argentina,F
11,Lazcano Julieta Constanza,Lazcano,25.07.89,186,64,293,281,4,0,80,84,Istres,Argentina,F
12,Rizzo Tatiana Soledad,Rizzo,30.12.86,181,63,293,283,3,0,43,46,Boca Juniors,Argentina,F
13,Boscacci Leticia,Boscacci,08.11.85,178,66,287,275,3,0,43,46,VC Kanti,Argentina,F
14,Fernandez Josefina,Fernandez,17.08.91,175,65,294,282,6,1,73,80,Hotel VFM,Argentina,F
15,Fortuna Antonela,Fortuna,10.05.95,176,55,265,264,2,0,14,16,Central San Carlos,Argentina,F
16,Busquets Reyes Florencia Natasha,Busquets,27.06.89,175,67,298,275,6,1,58,64,Hotel VFM,Argentina,F
17,Vidal Helena,Vidal,06.01.89,181,71,303,300,8,1,88,97,Pavia,Argentina,F
18,Castiglione Yael,Castiglione Y,27.09.85,175,70,301,289,7,0,78,85,Rio Do Soul,Argentina,F
19,Martinez Franchi Morena,Martinez,19.02.93,164,62,285,264,3,0,30,33,Velez Sarsfield,Argentina,F
20,Castiglione Carla,Castiglione C,03.07.89,173,64,289,289,6,1,58,65,San Lorenzo,Argentina,F
21,Herrera Rodriguez Candelaria Lucia,Herrera,28.01.99,171,71,290,280,11,0,84,95,Universidad de San Juan,Argentina,F
23,Curatola Antonella Ayelen,Curatola,23.10.91,175,71,280,280,11,0,95,106,Velez Sarsfield,Argentina,F
