No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Rezende Bruno Mossa,Bruno,02.07.86,190,76,327,302,7,2,47,56,Pallavolo Modena,Brazil,M
2,Santos Isac,Isac,13.12.90,205,105,338,320,4,1,33,38,Sada Cruzeiro Volei,Brazil,M
3,Carbonera Eder,Eder,19.10.83,206,105,340,315,6,2,40,48,Volei Taubate,Brazil,M
4,De Souza Wallace,Wallace,26.06.87,198,89,344,318,6,3,51,60,SESI,Brazil,M
5,Vieira De Oliveira Raphael,Raphael,14.06.89,190,84,310,305,6,2,41,49,Taubate Funvic,Brazil,M
6,Brendal Tiago,Tiago,16.10.91,194,86,315,310,6,1,32,39,Taubate Funvic,Brazil,M
7,Arjona William,William,31.03.81,185,80,300,295,6,2,43,51,Sada Cruzeiro Volei,Brazil,M
8,Endres Murilo,Murilo,03.05.81,190,90,330,315,8,4,52,64,SESI,Brazil,M
9,Dos Santos Jr. Sidnei,Sidnei,06.07.85,208,105,345,340,6,3,41,50,SESI,Brazil,M
10,Santos Sergio Dutra,Sergio,02.05.81,194,85,325,300,6,4,50,60,SESI,Brazil,M
11,Martins Wallace,Wallace,12.03.83,204,100,345,318,8,3,54,65,Campinas,Brazil,M
12,Fonteles Luiz Felipe Marques,Lipe,02.03.84,199,96,340,335,8,4,44,56,Campinas,Brazil,M
13,Souza Mauricio,M. Souza,29.09.88,208,105,355,330,4,2,50,56,Taubate Funvic,Brazil,M
14,Souza Douglas,Douglas,29.08.95,198,89,335,325,4,1,42,47,SESI,Brazil,M
15,Lucas Eduardo,Lucas Loh,10.08.91,198,87,327,310,6,3,35,44,Campinas,Brazil,M
16,Borges Almeida Silva Mauricio,Mauricio,04.02.89,199,95,345,320,4,3,45,52,Arkasspor,Brazil,M
