No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
2,Fotso Mogoung Stephanie,Fotso,25.09.87,184,78,296,259,1,2,21,24,VBC Chamalières,Cameroon,F
C 3,Tchoudjang Nana Christelle,Nana,07.07.89,184,78,295,259,1,2,22,25,VBC Chamalières,Cameroon,F
4,Ntozi Mpenga Jacqueline,Mpenga,12.07.97,175,63,275,270,0,1,1,2,La Rochelle,Cameroon,F
5,Nasser Raissa,Nasser,19.08.93,187,70,287,277,1,2,21,24,FAP VB,Cameroon,F
6,Aboa Mbera Theonine Christelle,Aboa T.,25.01.96,183,73,295,271,0,1,2,3,VBC Chamalières,Cameroon,F
7,Moma Bassoko Laetitia Crescence,Moma,15.01.93,180,68,290,260,1,2,22,25,Tremblay,Cameroon,F
8,Koulla Henriette Nadege,Koulla,14.09.99,191,72,297,275,0,1,0,1,FAP VB Evolution,Cameroon,F
9,Baran la Bisene Raissa Tatiana,Baran,18.01.97,183,67,297,275,0,1,2,3,FAP VB Evolution,Cameroon,F
10,Aboa Essama Marthe Linda,Aboa L.,18.03.97,187,73,297,275,0,1,2,3,FAP VB Evolution,Cameroon,F
11,Bikal Berthrade Simone Flore,Bikal,31.12.95,179,63,287,275,0,1,0,1,Nyong et Kelle,Cameroon,F
12,Ngan Nana Victoire Pauline L'Or,Nana V.,31.12.79,177,62,270,250,0,1,2,3,INJS VB,Cameroon,F
13,Fawziya Abdoulkarim,Fawziya,20.02.95,188,71,285,264,0,1,1,2,FAP VB Evolution,Cameroon,F
14,Madeleine Samantha Bodo Essissima,Essissima,29.04.97,178,69,284,264,0,1,2,3,FAP VB Evolution,Cameroon,F
15,Amana Guigolo Yolande Juliana,Amana,13.07.96,183,68,289,264,0,1,1,2,Bafia VB Evolution,Cameroon,F
16,Plata Zessi Emelda,Plata,08.04.97,183,68,275,270,0,1,0,1,Bafia VB Evolution,Cameroon,F
17,Bibinbe Ruth Manuela Marie,Bibinbe,23.04.02,188,71,275,270,0,1,0,1,Bafia VB Evolution,Cameroon,F
