No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Sanders Tyler,Sanders,14.12.91,191,81,326,308,7,3,55,65,MKS Bedzin S.A.,Canada,M
2,Perrin John Gordon,Perrin,17.08.89,201,95,353,319,6,2,50,58,LPR Piacenza,Canada,M
3,Lewis Daniel,Lewis,19.11.85,185,91,342,308,4,1,47,52,Bielsko-Biala,Canada,M
4,Hoag Nicholas,NHoag,19.08.92,199,94,347,320,6,3,60,69,Paris Volley,Canada,M
5,Verhoeff Rudy,Verhoeff,24.09.89,198,96,343,315,5,2,48,55,Benfica,Canada,M
6,Duff Justin,Duff,10.05.88,202,98,350,318,4,1,45,50,Team Canada,Canada,M
7,Simac Adam,Simac,09.08.85,198,94,345,310,5,2,52,59,Team Canada,Canada,M
8,Van Lankvelt Toonjie,Van Lankvelt,07.01.84,197,89,341,309,6,2,49,57,Jastrzebski Wegiel,Canada,M
9,Jansen Vandoorn Daniel Cornelius,Jansen Vandoorn,21.03.95,210,105,357,332,5,1,43,49,Nantes RMV,Canada,M
10,Schmitt Gavin,Schmitt,27.01.86,208,107,365,352,6,3,60,69,Nantes RMV,Canada,M
11,Burt Max,Burt,25.07.88,197,91,338,300,4,1,44,48,Arkasspor,Canada,M
12,Winters Frederic,Winters,30.09.84,194,94,342,310,6,3,52,61,Duren,Canada,M
13,Vigrass Graham,Vigrass,17.06.89,205,96,350,320,4,2,50,56,Team Canada,Canada,M
14,Mclean Braden,Mclean,12.03.91,198,94,340,308,4,1,48,53,Team Canada,Canada,M
15,Bann Blair Cameron,Bann,06.12.91,197,90,330,295,5,1,42,48,Team Canada,Canada,M
16,Marshall Steven,Marshall,27.11.91,200,96,346,318,5,2,49,56,Team Canada,Canada,M
