No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Yuan Xinyue,Yuan X.Y.,21.12.96,199,78,317,311,13,13,13,39,Army,China,F
2,Zhu Ting,Zhu T.,29.11.94,198,78,315,300,13,13,13,39,Henan,China,F
3,Yang Fangxu,Yang F.X.,06.10.95,197,75,307,305,0,0,0,0,Shandong,China,F
5,Shen Jingsi,Shen J.S.,03.05.89,185,65,303,294,0,0,0,0,Army,China,F
6,Gong Xiangyu,Gong X.Y.,21.04.97,183,70,305,305,0,0,0,0,Army,China,F
7,Wei Qiuyue,Wei Q.Y.,26.09.89,182,70,303,300,19,8,13,40,Tianjin,China,F
8,Zeng Chunlei,Zeng C.L.,03.11.89,186,73,305,305,0,0,0,0,Jiangsu,China,F
9,Zhang Changning,Zhang C.N.,06.11.95,193,80,305,300,3,3,3,9,Jiangsu,China,F
10,Liu Xiaotong,Liu X.T.,16.02.89,185,70,305,300,13,8,13,34,Beijing,China,F
11,Xu Yunli,Xu Y.L.,19.08.87,194,75,315,305,13,13,13,39,Fujian,China,F
12,Hui Ruoqi,Hui R.Q.,04.03.91,192,75,308,305,13,13,13,39,Jiangsu Volleyball Club,China,F
13,Zhang Xiaoya,Zhang X.Y.,10.03.99,198,80,303,300,3,3,3,9,Sichuan,China,F
15,Lin Li,Lin L.,05.07.92,171,65,300,285,0,0,0,0,Fujian,China,F
16,Ding Xia,Ding X.,13.01.90,180,70,305,300,13,13,13,39,Fujian,China,F
17,Yan Ni,Yan N.,02.03.87,192,78,305,300,19,8,13,40,Liaoning,China,F
18,Wang Mengjie,Wang M.J.,14.11.95,178,65,295,290,3,3,3,9,Liaoning,China,F
19,Liu Yanhan,Liu Y.H.,19.04.93,190,78,305,300,3,3,3,9,Army,China,F
20,Zheng Yixin,Zheng Y.X.,06.05.95,192,78,305,300,3,3,3,9,Fujian,China,F
21,Wang Yunlu,Wang Y.L.,10.05.96,182,65,305,300,0,0,0,0,Army,China,F
22,Chen Zhan,Chen Z.,11.10.90,180,65,300,295,0,0,0,0,Jiangsu,China,F
