No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Gonzalez Nicolas Yosvani,Nicolas,18.04.88,196,85,345,330,0,0,43,43,Havana,Cuba,M
2,Melgarejo Hernandez Osniel Lazaro,Melgarejo,18.12.97,195,83,345,320,0,0,40,40,Sancti-Spiritus,Cuba,M
3,Jimenez Scull Javier Ernesto,Jimenez,16.11.99,198,88,345,325,0,0,45,45,La Habana,Cuba,M
4,Concepcion Rojas Javier Octavio,Concepcion,22.11.92,205,95,350,350,0,0,50,50,Havana,Cuba,M
5,Rendon Gonzalez Osniel Cecilio,Vequila,26.03.93,198,92,345,320,0,0,45,45,Havana,Cuba,M
6,Garcia Alvarez Yonder Roman,Garcia,26.03.93,196,90,345,320,0,0,45,45,Havana,Cuba,M
7,Osoria Rodriguez Livan,Osoria,17.10.94,202,87,340,320,0,0,40,40,Santiago de Cuba,Cuba,M
9,Ferrer Delis Darien,Ferrer,31.10.82,194,85,345,320,10,35,35,45,Santiago de Cuba,Cuba,M
10,Maso Alvarez Jose Israel,Melgarejo,18.12.97,195,84,345,320,0,0,40,40,Guantanamo,Cuba,M
11,Rivera Sanchez Mario Luis,Rivera,16.10.82,194,86,345,320,0,0,35,35,Pinar del Rio,Cuba,M
12,Rojas Coimbre Renier,Rojas,31.07.89,202,85,345,320,0,0,40,40,Cienfuegos,Cuba,M
13,Lopez Castro Miguel Angel,Lopez,26.06.97,198,83,345,320,0,0,35,35,Cienfuegos,Cuba,M
17,Salazar Rubiera Lionnis,Salazar,25.07.97,195,82,345,320,0,0,40,40,Santiago de Cuba,Cuba,M
18,Gutierrez Suarez Miguel David,Gutierrez,26.06.98,194,80,345,320,0,0,35,35,Villa Clara,Cuba,M
20,Goide Arredondo Adrian Eduardo,Goide,26.06.98,198,81,345,320,0,0,40,40,Sancti Spiritus,Cuba,M
21,Alonso Arce Roamy Raul,Hernandez,24.07.97,201,93,330,330,0,0,30,30,Matanzas,Cuba,M
