No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
3.0,Abou Abd Elhalim Mohamed,Halim,03.06.89,210.0,108.0,285.0,270.0,15.0,5.0,150.0,150.0,Ahly,Egypt,M
4.0,Abdelrah Ahmed,A.Salah,19.08.94,197.0,87.0,342.0,345.0,15.0,15.0,200.0,200.0,Army,Egypt,M
5.0,Ahmed Abdellatif,Tefa,05.08.89,197.0,87.0,345.0,345.0,15.0,10.0,190.0,190.0,Zamalek,Egypt,M
6.0,Abdelrehim Mamdouh,Mamdouh,05.08.87,198.0,84.0,345.0,345.0,10.0,10.0,180.0,180.0,Army,Egypt,M
7.0,Abouelhassan Ashraf,Ashraf,17.05.75,202.0,92.0,345.0,345.0,5.0,15.0,175.0,175.0,Zamalek,Egypt,M
8.0,Thaki Mohamed,Hossiny,12.05.95,194.0,85.0,318.0,270.0,5.0,10.0,180.0,180.0,Army,Egypt,M
9.0,Atia Rashad,Rashad,20.09.96,205.0,89.0,345.0,345.0,0.0,5.0,160.0,160.0,Zamalek,Egypt,M
10.0,Masoud Mohamed,M.Adel,24.10.91,193.0,90.0,320.0,300.0,5.0,5.0,170.0,170.0,Ahly,Egypt,M
11.0,Afifi Ahmed,Yousef,30.03.88,190.0,91.0,318.0,318.0,0.0,5.0,155.0,155.0,Army,Egypt,M
12.0,Abdalla Hossam,Hossam,04.08.94,191.0,91.0,318.0,318.0,5.0,5.0,155.0,155.0,Ahly,Egypt,M
13.0,Moneim Badawy Mohamed,Moneim,01.04.91,191.0,91.0,318.0,318.0,5.0,10.0,155.0,155.0,Ahly,Egypt,M
14.0,Hassan Omar,O.Nagib,14.01.95,190.0,92.0,318.0,318.0,5.0,5.0,160.0,160.0,Zamalek,Egypt,M
15.0,Elkotb Ahmed,A.Kotob,23.07.91,193.0,91.0,320.0,345.0,5.0,5.0,165.0,165.0,Ahly,Egypt,M
16.0,Hassan Mohamed,Reda,03.03.87,190.0,91.0,320.0,330.0,5.0,5.0,165.0,165.0,Ahly,Egypt,M
17.0,Haikal Reda,A.Saie,27.05.89,194.0,94.0,345.0,345.0,5.0,5.0,165.0,165.0,Army,Egypt,M
18.0,Shafik Ahmed,Momo,26.08.97,200.0,95.0,345.0,345.0,5.0,10.0,170.0,170.0,Zamalek,Egypt,M
19.0,Moaawd Mohamed,M.Aly,10.09.91,197.0,87.0,342.0,300.0,0.0,5.0,170.0,170.0,Zamalek,Egypt,M
21.0,Khater Mohamed,Dronka,08.06.89,204.0,94.0,345.0,345.0,0.0,5.0,175.0,175.0,Petrojet,Egypt,M
22,Abdelaal Ahmed,Dronka, 08.06.89,204.0,94.0,345.0,345.0,0.0,5.0,175.0,175.0,Petrojet,Egypt,M
23,Sedikk Hussein, Hussein, 21.05.94,207,94,345,334,0,0,0,0,Petrojet,Egypt,M
