No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Aguenier Jonas,Aguenier,28.04.92,202,92,340,310,13,10,59,72,AS Cannes,France,M
2,Grebenikov Jenia,Grebenikov,13.08.90,188,85,345,330,13,10,153,163,AS Volley Lube,France,M
3,Henry Médéric,Henry,28.09.94,198,92,330,310,13,15,142,170,Arago de Sete,France,M
4,Rouzier Antonin,Rouzier,18.08.86,199,95,345,325,13,10,170,183,Arkas Spor,France,M
5,Clevenot Trevor,Clevenot,28.06.94,199,94,340,310,13,10,153,176,Zaska Kedzierzyn,France,M
6,Toniutti Benjamin,Toniutti,30.10.89,183,75,330,320,15,15,132,162,Zaska Kedzierzyn,France,M
7,Tillie Kevin,Tillie,22.05.90,200,90,340,310,13,10,153,173,Tours VB,France,M
8,Brizard Antoine,Brizard,22.05.94,196,90,345,320,13,10,143,166,Tours VB,France,M
9,Ngapeth Earvin,Ngapeth,12.02.91,194,95,345,325,10,15,163,188,Tours VB,France,M
10,Le Roux Kevin,Le Roux,10.05.89,209,107,360,345,13,15,163,191,Resovia Rzeszow,France,M
11,Lyneel Julien,Lyneel,15.02.90,191,95,340,310,13,10,150,173,Chaumont VB 52,France,M
12,Boyer Stephen,Boyer,10.04.96,192,85,340,315,5,5,140,150,AS Cannes,France,M
13,Pujol Pierre,Pujol,08.07.84,185,80,315,305,13,15,143,171,Berlin,France,M
14,Le Goff Nicolas,Le Goff,15.02.92,206,102,355,340,13,15,157,185,Tours VB,France,M
15,D'Almeida Horacio,D'Almeida,15.06.94,191,91,330,310,10,5,134,149,Chaumont VB 52,France,M
16,Marechal Nicolas,Marechal,04.03.87,199,95,340,320,13,10,142,165,Skra Belchatow,France,M
17,Lafitte Franck,Lafitte,08.03.89,200,100,345,325,13,10,143,166,Arago de Sete,France,M
