No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Mahmoudi Shahram,Sh.Mahmoudi,20.07.88,198,95,347,332,4,4,4,12,Sarmayeh Bank,Iran,M
2,Ebadipour Ghara H. Milad,M.Ebadipour,17.10.93,196,78,345,310,3,6,9,18,Shahrdari Urmia,Iran,M
3,Fallah Zarchoub L. Mohammad,M.Fallah,03.03.93,198,90,350,330,4,6,9,19,Student,Iran,M
4,Maroufikarani Mir Saeid,S.Marouf,20.10.85,189,91,351,311,36,145,181,361,Shahrdari Urmia,Iran,M
5,Ghaemi Farhad,F.Ghaemi,28.08.89,197,73,355,335,3,6,9,18,Paykan,Iran,M
6,Mousavi Eraghi Seyed Mohammad,Seyed,22.08.87,203,85,355,340,2,5,7,14,Sarmayeh Bank,Iran,M
7,Zarini Hamzeh,H.Zarini,18.10.85,208,92,350,325,40,150,90,280,Kalleh Mazandaran,Iran,M
8,Zarif Ahangaran V. Farhad,F.Zarif,03.03.83,165,65,290,271,2,2,4,8,Sarmayeh Bank,Iran,M
9,Gholami Adel,A.Gholami,09.02.86,192,80,330,305,3,2,5,10,Sarmayeh Bank,Iran,M
10,Ghafour Amir,A.Ghafour,06.09.91,198,97,345,310,3,3,11,17,Paykan,Iran,M
11,Davoodi Rahman,R.Davoodi,24.02.94,198,90,340,320,3,3,10,16,Matin Varamin,Iran,M
12,Mirzapajour M. Mojtaba,M.Mirzapajour,10.10.91,205,91,348,348,4,4,13,21,Paykan,Iran,M
13,Mahdavi Mehdi,M.Mahdavi,13.02.84,191,85,345,311,60,100,160,320,Sarmayeh Bank,Iran,M
14,Manavinezhad Mohammadjavad,M.Manavinezhad,27.11.95,205,95,350,345,8,8,8,24,Paykan,Iran,M
15,Sharifat Mostafa,M.Sharifat,16.09.94,194,90,340,330,3,2,5,10,Matin Varamin,Iran,M
16,Tashakori Armin,A.Tashakori,22.04.90,185,94,330,320,3,5,7,15,Saipa,Iran,M
17,Heydari Mostafa,M.Heydari,22.07.93,200,91,340,315,3,5,5,13,Ardakan,Iran,M
18,Behbodi Alireza,A.Behbodi,02.03.86,197,84,355,305,3,5,7,15,Paykan,Iran,M
19,Marandi Mahdi,M.Marandi,20.05.88,202,86,335,315,3,3,7,13,Sarmayeh Bank,Iran,M
20,Mobasheri Demneh Alireza,A.Mobasheri,10.06.88,196,95,350,330,3,5,5,13,Sarmayeh Bank,Iran,M
