No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Saitta Davide,Saitta,23.06.87,187,92,335,328,19,7,85,111,Paris Volley,Italy,M
2,Nelli Gabriele,Nelli,04.12.93,210,95,335,320,7,7,70,84,Trentino Volley,Italy,M
3,Sottile Pasquale,Sottile,19.09.79,190,80,325,310,8,10,90,108,Top Volley,Italy,M
4,Vettori Luca,Vettori,26.04.91,202,103,335,333,13,12,85,110,Modena Volley Punto Zero,Italy,M
5,Juantorena Osmany,Juantorena,12.08.85,195,90,355,340,13,15,135,163,Dynamo Moscow,Italy,M
6,Giannelli Simone,Giannelli,09.08.96,198,92,342,325,8,7,85,100,Trentino Volley,Italy,M
7,Rossini Salvatore,Rossini,20.07.86,186,75,312,300,7,7,72,86,Modena Volley Punto Zero,Italy,M
8,Mauriotti Gabriele,Mauriotti,25.03.88,195,84,328,310,6,8,80,94,Top Volley,Italy,M
9,Zaytsev Ivan,Zaytsev,30.10.88,202,91,355,340,12,15,145,172,Sir Safety Umbria Volley,Italy,M
10,Buti Simone,Buti,09.04.81,206,100,345,335,8,8,85,101,Trentino Volley,Italy,M
11,Cester Enrico,Cester,16.03.88,203,90,335,325,7,9,85,101,Lube Volley,Italy,M
12,Colaci Massimo,Colaci,21.02.85,180,77,300,275,7,7,60,72,Trentino Volley,Italy,M
13,Piano Matteo,Piano,24.10.90,205,101,345,338,6,10,125,141,Modena Volley Punto Zero,Italy,M
14,Birarelli Emanuele,Birarelli,08.02.81,201,89,338,311,19,20,115,155,Trentino Volley,Italy,M
15,Antonov Oleg,Antonov,28.01.87,199,89,325,310,5,7,60,72,Blue Volley Verona,Italy,M
16,Anzani Simone,Anzani,02.02.92,205,95,340,330,7,6,70,83,Lube Volley,Italy,M
17,Sabbi Giulio,Sabbi,10.08.89,198,97,345,338,9,6,85,100,Power Volley,Italy,M
18,Setteoli Riccardo,Setteoli,20.09.94,202,85,330,310,6,8,75,89,Trentino Volley,Italy,M
19,Fedrizzi Michele,Fedrizzi,21.05.91,198,84,335,330,10,10,85,105,Trentino Volley,Italy,M
20,Player 20,Player 20,01.01.90,190,80,320,315,5,5,70,90,Club 20,Italy,M
