No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Ortolani Serena,Ortolani,07.01.87,187,63,320,240,10,6,6,22,Imoco Volley Conegliano,Italy,F
2,Malinov Ofelia,Malinov,29.02.96,186,70,330,300,6,3,3,12,Club Italia,Italy,F
3,Melandri Laura,Melandri,31.01.95,187,73,300,236,0,0,0,0,Piacenza,Italy,F
4,Orro Alessia,Orro,18.07.98,182,70,302,236,0,0,0,0,Club Italia,Italy,F
5,Guerra Anastasia,Guerra,05.10.96,187,68,314,236,0,0,0,0,Club Italia,Italy,F
6,De Gennaro Monica,De Gennaro,15.01.87,174,64,292,270,16,10,10,36,Imoco Volley Conegliano,Italy,F
7,Guggi Martina,Guggi,15.07.93,186,74,305,280,3,1,1,5,Igor Volley Novara,Italy,F
8,Gennari Alessia,Gennari,03.06.91,180,72,298,276,5,2,2,9,Bergamo,Italy,F
11,Centoni Nadia,Centoni,19.06.81,184,70,314,300,16,10,10,36,Galatasaray Istanbul,Italy,F
12,Spirito Ilaria,Spirito,01.02.98,178,63,270,255,2,1,1,4,Galatasaray Istanbul,Italy,F
13,Chirichella Cristina,Chirichella,10.02.94,191,76,314,300,8,5,5,18,Igor Volley Novara,Italy,F
14,Rondon Giulia,Rondon,16.10.89,184,71,292,270,10,8,8,26,Icos Crema,Italy,F
15,Cambi Carlotta,Cambi,28.05.97,180,70,295,278,0,0,0,0,Pomi Casalmaggiore,Italy,F
16,Lo Bianco Eleonora,Lo Bianco,22.12.79,172,66,280,256,12,8,8,28,Dinamo-Kazan,Italy,F
17,Del Core Antonella,Del Core,03.11.80,180,70,305,285,10,10,10,30,Modena,Italy,F
18,Danesi Anna,Danesi,20.04.96,192,75,320,320,8,8,8,24,Club Italia,Italy,F
