No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Nagaoka Miyu,Nagaoka,25.07.91,179,63,310,298,9,1,0,10,Hisamitsu Springs,Japan,F
2,Miyashita Haruka,Miyashita,01.09.94,177,64,298,295,4,1,2,7,Okayama Seagulls,Japan,F
3,Kimura Saori,Saori,19.08.86,185,68,307,299,9,7,6,22,Toray Arrows,Japan,F
4,Otake Riho,Otake,17.12.93,178,66,302,293,4,1,2,7,Denso Airybees,Japan,F
5,Sato Arisa,Arisa,18.07.89,181,66,308,297,6,2,3,11,Hitachi Rivale,Japan,F
6,Nabeya Yurie,Nabeya,25.12.93,176,65,300,295,6,1,2,9,Hisamitsu Springs,Japan,F
7,Yamaguchi Mai,Yamaguchi,03.07.93,179,68,307,300,8,3,2,13,Okayama Seagulls,Japan,F
8,Koga Sarina,Koga,04.05.96,180,66,305,295,5,1,2,8,NEC Red Rockets,Japan,F
9,Shimamura Haruyo,Shimamura,04.03.92,183,72,307,300,5,1,2,8,NEC Red Rockets,Japan,F
10,Maruyama Aki,Maruyama,06.12.87,182,69,295,285,3,1,2,6,Okayama Seagulls,Japan,F
11,Araki Erika,Araki,03.08.84,186,76,315,305,10,8,6,24,Toyota Auto Body Queensies,Japan,F
12,Ishii Yuki,Ishii,08.05.96,177,63,298,295,3,1,2,6,Hisamitsu Springs,Japan,F
13,Sato Miya,Miya,30.01.89,177,65,298,295,4,1,2,7,PFB Blue Cats,Japan,F
14,Ebata Yukiko,Ebata,07.11.87,176,66,305,303,7,3,2,12,Hitachi Rivale,Japan,F
15,Uchiseto Mami,Uchiseto,30.09.91,178,67,304,304,4,1,2,7,Hitachi Rivale,Japan,F
16,Sakoda Saori,Sakoda,18.12.87,175,65,295,285,5,3,2,10,Toray Arrows,Japan,F
17,Tanaka Mizuki,Mizuki,29.06.95,182,67,302,302,3,1,2,6,JT Marvelous,Japan,F
18,Zayasu Kotoki,Zayasu,21.05.90,158,53,275,260,5,2,1,8,Hisamitsu Springs,Japan,F
19,Inoue Arisa,Inoue,08.05.94,176,61,283,273,1,1,2,4,University of Tsukuba,Japan,F
20,Tashiro Kanami,Tashiro,25.03.91,176,65,283,273,3,1,2,6,Toray Arrows,Japan,F
