No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Lee Soyoung,Lee Soyoung,17.10.94,176,66,260,265,9,0,0,9,GS Caltex,Korea,F
2,Kim Se Young,Kim Seyoung,04.06.91,184,76,296,295,8,1,0,9,Hyundai Construction,Korea,F
3,Kee Hyo Hee,Kee Hyo Hee,26.08.85,175,64,250,245,7,1,0,8,Korea Expressway Corporation,Korea,F
4,Kim Heejin,Kim Heejin,29.04.91,185,78,315,305,9,1,3,13,IBK,Korea,F
5,Kim Hae Ran,Kim Hae Ran,16.03.84,168,57,290,275,6,1,2,9,Korea Ginseng Corp.,Korea,F
6,Hwang Younjoo,Hwang Younjoo,13.08.86,180,70,303,292,8,1,2,11,Hyundai Construction,Korea,F
7,Lee Jaeyeong,Lee Jaeyeong,15.10.96,179,67,293,285,6,1,1,8,Heungkuk Life Insurance,Korea,F
8,Nam Jie Youn,Nam Jie Youn,25.08.88,174,63,265,250,7,1,2,10,Heungkuk Life Insurance,Korea,F
9,Kim Yeon Koung,Kim Yeonkoung,26.02.88,192,73,330,305,10,8,4,22,Fenerbahce,Korea,F
10,Kim Su Ji,Kim Suji,10.03.87,185,73,305,292,7,2,2,11,Heungkuk Life Insurance,Korea,F
11,Moon Myunghwa,Moon Myunghwa,04.09.95,179,66,280,265,3,1,1,5,KGC Ginseng Corp.,Korea,F
12,Park Jeongah,Park Jeongah,26.03.93,186,69,301,290,8,1,2,11,IBK,Korea,F
13,Yang Hyo Jin,Yang Hyo Jin,14.12.89,190,71,317,305,9,7,3,19,Hyundai Construction,Korea,F
14,Kang Sohwi,Kang Sohwi,07.09.97,177,65,275,260,3,1,1,5,GS Caltex,Korea,F
15,Bae Yoona,Bae Yoona,24.07.95,178,67,285,275,4,2,1,7,Korea Expressway Corporation,Korea,F
16,Yeum Hye Seon,Yeum Hyeseon,01.09.91,175,66,275,265,3,1,1,5,Hyundai Construction,Korea,F
17,Yang Inyeong,Yang Inyeong,10.06.94,177,68,272,265,2,1,0,3,Heungkuk Life Insurance,Korea,F
18,Cho Songhwa,Cho Songhwa,21.03.93,178,67,270,260,2,1,0,3,Hyundai Construction,Korea,F
19,Na Hyun Jung,Na Hyunjung,12.03.94,174,66,260,250,1,0,0,1,GS Caltex,Korea,F
20,Na Hyun Jung,Na Hyunjung,12.03.94,178,67,270,260,2,1,0,3,GS Caltex,Korea,F
