No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Vargas Daniel,Vargas,01.09.86,197.0,94.0,340.0,330.0,12.0,,,136.0,Raision Loimu,Mexico,M
2,Márquez Ramírez Iván Arturo,Márquez,02.01.92,195.0,86.0,312.0,292.0,2.0,3.0,15.0,20.0,Nuevo Leon,Mexico,M
3,Macías Vargas Marco Antonio,Macías,12.08.95,193.0,75.0,334.0,325.0,,,,,,Mexico,M
4,Ruíz De La Cruz Gonzalo,Ruíz,28.04.88,195.0,85.0,345.0,335.0,3.0,,25.0,,IMSS ATN,Mexico,M
5,Rangel Jesús,Rangel J.,20.09.90,190.0,74.0,337.0,330.0,16.0,1.0,177.0,161.0,Nuevo Leon,Mexico,M
6,Perales Jesús Alberto,Perales,22.12.93,197.0,83.0,345.0,315.0,,,,,Nuevo Leon,Mexico,M
7,Quiñones Jorge,Quiñones,13.11.81,190.0,82.0,325.0,295.0,,,,,,Mexico,M
8,Ramirez Ignacio,Ramirez,17.09.86,176.0,71.0,305.0,294.0,,,,,,Mexico,M
9,Guerra Carlos,Guerra,03.08.89,194.0,84.0,345.0,340.0,10.0,,112.0,112.0,Chenois Genève Volleyball,Mexico,M
10,Rangel Pedro,Rangel P.,17.06.88,195.0,78.0,338.0,322.0,,,,,,Mexico,M
11,Barajas Jorge,Barajas,12.08.90,196.0,88.0,330.0,312.0,,,,,,Mexico,M
12,Martell José,Martell,09.04.85,200.0,85.0,335.0,320.0,,,,,,Mexico,M
13,Cordova Samuel,Cordova,21.06.93,195.0,84.0,331.0,318.0,,,,,,Mexico,M
14,Aguilera Tomas,Aguilera,09.08.86,198.0,85.0,340.0,330.0,,,,,,Mexico,M
15,Alanís José Luis,Alanís,14.02.90,192.0,75.0,315.0,305.0,,,,,,Mexico,M
16,Chávez Pasos Miguel Antonio,Chávez,14.02.93,196.0,80.0,330.0,320.0,,,,,,Mexico,M
17,Orellana Néstor,Orellana,13.06.93,194.0,77.0,320.0,310.0,,,,,,Mexico,M
18,Mendoza Perdomo José Roberto,Mendoza,22.11.91,200.0,90.0,340.0,335.0,,,,,,Mexico,M
19,Duarte Julián,Duarte,01.12.94,198.0,85.0,330.0,320.0,,,,,,Mexico,M
20,Martínez José,Martínez,23.01.93,193.0,81.0,345.0,334.0,,,,,,Mexico,M
