No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Knip Kirsten,Knip,14.09.92,172.0,70.0,275.0,275.0,9.0,0.0,0.0,9.0,Rote Raben Vilsbiburg,Netherlands,F
2,Stoltenborg Femke,Stoltenborg,30.07.91,184.0,76.0,298.0,299.0,8.0,1.0,0.0,9.0,MTV Stuttgart,Netherlands,F
3,Belen Yvon,Belen,26.10.93,186.0,72.0,299.0,298.0,7.0,1.0,0.0,8.0,Valley Bergamo,Netherlands,F
4,Plak Celeste,Plak,04.09.91,190.0,78.0,304.0,305.0,9.0,1.0,0.0,10.0,Imoco Volley Conegliano,Netherlands,F
5,De Kruijf Robin,De Kruijf,16.05.91,194.0,76.0,313.0,310.0,10.0,1.0,2.0,13.0,PGE Atom,Netherlands,F
6,Balkestein-Grothues Maret,Balkestein,15.03.91,178.0,68.0,301.0,305.0,10.0,1.0,3.0,14.0,Scandicci,Netherlands,F
7,Steenbergen Quinta,Steenbergen,18.04.92,193.0,74.0,303.0,305.0,8.0,1.0,1.0,10.0,Vakifbank Istanbul,Netherlands,F
8,Belien Yvon,Belien,26.04.93,186.0,72.0,301.0,302.0,7.0,1.0,1.0,9.0,Slecherat Sport,Netherlands,F
9,Schoot Myrthe,Schoot,12.11.92,175.0,65.0,287.0,275.0,3.0,2.0,2.0,7.0,CSM Bucaresti,Netherlands,F
10,Sloetjes Lonneke,Sloetjes,07.02.93,192.0,70.0,313.0,305.0,11.0,8.0,5.0,21.0,CSM Bucaresti,Netherlands,F
11,Buijs Anne,Buijs,01.12.91,188.0,74.0,302.0,299.0,7.0,2.0,2.0,11.0,Ladies in Black,Netherlands,F
12,Dijkema Laura,Dijkema,12.07.91,182.0,70.0,290.0,290.0,8.0,2.0,2.0,12.0,Ladies in Black,Netherlands,F
13,Demourde Clara,Demourde,18.07.92,181.0,68.0,287.0,282.0,2.0,1.0,1.0,4.0,Rote Raben Vilsbiburg,Netherlands,F
14,Pilon-Stam Debby,Pilon-Stam,14.09.92,181.0,65.0,284.0,280.0,3.0,1.0,0.0,4.0,MTV Stuttgart,Netherlands,F
15,Oude Luttikhuis Nicole,Oude Luttikhuis,24.01.93,180.0,66.0,283.0,278.0,2.0,1.0,0.0,3.0,Vakifbank Istanbul,Netherlands,F
16,Bongarts Britt,Bongarts,19.11.93,185.0,70.0,285.0,280.0,3.0,1.0,0.0,4.0,Scandicci,Netherlands,F
17,Daalderop Marlies,Daalderop,09.11.94,180.0,65.0,283.0,279.0,3.0,1.0,0.0,4.0,Rote Raben Vilsbiburg,Netherlands,F
18,Podler Tessa,Podler,27.01.94,178.0,64.0,283.0,278.0,2.0,1.0,0.0,3.0,Slecherat Sport,Netherlands,F
19,Koolhaas Nicole,Koolhaas,14.09.93,189.0,70.0,287.0,282.0,3.0,1.0,1.0,5.0,CSM Bucaresti,Netherlands,F
