No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Nowakowski Piotr,Nowakowski,18.12.87,205,95,355,340,19.0,5.0,157.0,157.0,Asseco Resovia,Poland,M
2,Muzaj Maciej,Muzaj,21.05.94,208,95,340,325,,,,,Asseco Resovia,Poland,M
3,Konarski Dawid,Konarski,31.08.89,198,98,354,335,,,,,Zaksa,Poland,M
4,Zalinski Wojciech,Zalinski,08.10.85,193,94,335,320,,,,,Cerrad Czarny,Poland,M
5,Kurek Bartosz,Kurek,29.08.88,205,100,355,345,6.0,,182.0,182.0,PGE Skra,Poland,M
6,Klos Karol,Klos,08.08.89,201,97,345,340,,,,,PGE Skra,Poland,M
7,Wrona Andrzej,Wrona,27.12.88,206,102,345,335,,,,,Asseco Resovia,Poland,M
8,Wojtaszek Damian,Wojtaszek,07.06.94,180,84,330,315,,,,,Zaksa,Poland,M
9,Drzyzga Fabian,Drzyzga,03.03.95,198,87,335,320,21.0,8.0,147.0,147.0,Cuprum,Poland,M
10,Lomacz Grzegorz,Lomacz,12.10.87,190,84,330,315,,,,,Cuprum,Poland,M
11,Kubiak Michal,Kubiak,23.08.91,198,93,338,312,12.0,,133.0,133.0,AZS Politechnika Warszawska,Poland,M
12,Sliwka Aleksander,Sliwka,06.05.97,200,84,333,320,,,,,Zaksa,Poland,M
13,Zatorski Pawel,Zatorski,29.06.85,190,84,325,320,,,,,Zaksa,Poland,M
14,Mozdzonek Marcin,Mozdzonek,09.01.89,211,104,345,340,,,,,Lotos Trefl,Poland,M
15,Mika Mateusz,Mika,24.02.91,198,88,330,310,6.0,,174.0,174.0,Lotos Trefl,Poland,M
16,Buszek Rafal,Buszek,25.07.94,198,88,335,320,,,,,Indykpol AZS,Poland,M
17,Bednorz Bartosz,Bednorz,25.07.94,198,95,330,315,,,,,Indykpol AZS,Poland,M
