No.,Name / First Name,Nickname,Birthdate,H,W,S,B,WCH,OG,OTH,Tot.,Club,Country,Sex
1,Seilhamer Debora,Seilhamer,04.10.85,166,61,240,240,0,1,0,54,Catano,Puerto Rico,F
2,Venegas Shara,Venegas,18.09.92,176,61,265,265,0,1,0,63,Caguas,Puerto Rico,F
3,Mojica Vilmarie,Mojica,14.08.85,176,65,285,275,2,2,0,65,Caguas,Puerto Rico,F
4,Jusino Ana Sofia,Jusino,05.01.94,185,65,305,290,2,2,0,64,National Team,Puerto Rico,F
5,Diaz Odemaris,Diaz,02.04.93,174,61,285,275,2,2,0,62,Junco,Puerto Rico,F
6,Rosa Yarmiar,Rosa,10.06.88,186,62,290,285,2,2,0,63,Junco,Puerto Rico,F
7,Enright Stephanie,Enright,11.07.90,180,62,295,280,3,2,1,66,Junco,Puerto Rico,F
8,Colon Xaimara,Colon,21.08.89,175,62,295,285,1,1,1,63,Caguas,Puerto Rico,F
9,Cruz Aurea,Cruz,12.03.82,176,62,290,280,5,5,2,79,Carolina,Puerto Rico,F
10,Reyes Diana,Reyes,29.04.83,178,64,285,275,5,5,2,79,Carolina,Puerto Rico,F
11,Ocasio Karina,Ocasio,01.09.85,180,67,295,285,3,2,1,63,Caguas,Puerto Rico,F
12,Noguera Jennifer,Noguera,23.09.91,180,64,295,285,2,2,1,60,Caguas,Puerto Rico,F
13,Ferrer Shirley,Ferrer,11.11.86,175,66,285,280,2,1,0,66,Caguas,Puerto Rico,F
14,Valentin Natalia,Valentin,27.03.88,174,63,284,278,2,1,0,64,San Juan,Puerto Rico,F
15,Santana Daly,Santana,30.01.92,184,64,305,290,2,1,0,64,San Juan,Puerto Rico,F
16,Quendo Alexandra,Quendo,10.08.84,180,63,290,275,2,2,1,63,National Team,Puerto Rico,F
17,Santos Naomi,Santos-Lamb,29.11.93,180,65,300,285,2,1,1,66,Caguas,Puerto Rico,F
18,Morales Lynda,Morales,20.08.92,185,69,310,295,2,1,1,69,National Team,Puerto Rico,F
19,Prieto Cerame Paulina,Prieto Cerame,25.01.94,178,78,297,287,1,1,1,80,Boomers,Puerto Rico,F
20,Santos Raymariely,Santos,13.04.92,183,72,290,288,2,1,1,72,Ponce,Puerto Rico,F
